serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2011-02919,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 1, Administration of apprentice training",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 52 p. : col. charts ; 30 cm.",Unpriced (pbk.),
2011-02920,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 2, Assessment and collection of stamp duty",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 55 p. : col. charts ; 30 cm.",Unpriced (pbk.),
2011-02921,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 3, Construction of pedestrian crossing facilities",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"ii, 64 p. : col. ill., col. charts, col. maps ; 30 cm.",Unpriced (pbk.),
2011-02922,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 4, Control of pet animals",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 66 p. : col. ill., charts ; 30 cm.",Unpriced (pbk.),
2011-02923,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 5, Development of Eco Park",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"ii, 57 p. : col. ill., col. map ; 30 cm.",Unpriced (pbk.),
2011-02924,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 6, Hong Kong Chinese Orchestra Limited.",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 90 p. : col. ill., col. charts ; 30 cm.",Unpriced (pbk.),
2011-02925,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 7, Implementation of the Vehicles and Drivers Licensing Integrated Data IV System",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"ii, 36 p. : col. charts ; 30 cm.",Unpriced (pbk.),
2011-02926,"AUDIT COMMISSION A report no. 54 of the Director of Audit. Chapter 8, Provision of postal services",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 42 p. : col. ill., col. charts ; 30 cm.",Unpriced (pbk.),
2011-02927,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 1, Administration of the Direct Subsidy Scheme",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 53 p. ; 30 cm.",Unpriced (pbk.),
2011-02928,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 2, Governance and administration of Direct Subsidy Scheme schools",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"vi, 60 p. ; 30 cm.",Unpriced (pbk.),
2011-02929,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 3, Hong Kong Observatory",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 64 p. : col. ill., chart ; 30 cm.",Unpriced (pbk.),
2011-02930,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 4, Installing building services systems in government buildings",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 60 p. : col. ill., chart ; 30 cm.",Unpriced (pbk.),
2011-02931,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 5, Management of leave in the Food and Environmental Hygiene Department and the Housing Department",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 50 p. : col. charts ; 30 cm.",Unpriced (pbk.),
2011-02932,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 6, Management of leave in the Hong Kong Police Force",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 53 p. : col. chart ; 30 cm.",Unpriced (pbk.),
2011-02933,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 7, Management of performing arts venues",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 57 p. : col. ill., col charts ; 30 cm.",Unpriced (pbk.),
2011-02934,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 8, Managing and reducing water main bursts and leaks",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"ii, 66 p. : col. ill., col charts ; 30 cm.",Unpriced (pbk.),
2011-02935,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 9, Provision of village sewerage",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"ii, 66 p. : col. ill., col maps ; 30 cm.",Unpriced (pbk.),
2011-02936,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 10, Residential treatment and rehabilitation services for drug abusers",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"ii, 81 p. : col. ill., col charts ; 30 cm.",Unpriced (pbk.),
2011-02937,"AUDIT COMMISSION A report no. 55 of the Director of Audit. Chapter 11, The Community Investment and Inclusion Fund",,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,"iv, 53 p. : col. ill., charts ; 30 cm.",Unpriced (pbk.),
2011-02938,AUDIT COMMISSION Report of the Director of Audit on the Accounts of the Government of the Hong Kong Special Administrative Region for the year ended 31 March 2010,,English,,,Audit Commission,,,,,,,,,,,Hong Kong,2010,80 p. : charts ; 30 cm.,Unpriced (pbk.),
2011-02656,AUTHENTIC workplace communication in English. 2,,English,York Cheng,,Witman Publishing Company (Hong Kong) Limited,978-962-304-769-2,,pbk.,$,108.00,,,,,,Hong Kong,2010,144 p. : ill. ; 27 cm.,,
2011-01398,Decadence Mandchoue : the China memoirs of Sir Edmund Trelawny Backhouse,,English,Derek Sandhaus,,Earnshaw Books Limited,978-988-19445-1-1,,,USD,39.99,,,,,,Hong Kong,2011,"xxx, 297 p. : ports ; 25 cm.",Includes bibliographical references,
2011-00341,"BAFS in the new world (business, accounting and financial studies). Vol. 4B",,English,"Patrick Kinwai Ho, Andy Tak-ming Li",,Pilot Publishing Company Limited,978-988-205-440-0,,pbk.,,Unpriced,,,,,,Hong Kong,2010,"ix, 371 p. : col. ill., charts ; 29 cm.",Glossary,
2011-00342,"BAFS in the new world (business, accounting and financial studies). Vol. 5A",,English,"Patrick Kinwai Ho, Woon-lam Tse",,Pilot Publishing Company Limited,978-988-205-521-6,,pbk.,,Unpriced,,,,,,Hong Kong,2010,"vii, 104 p. : col. ill., charts ; 29 cm.",,
2011-02894,"THE BANK OF EAST ASIA, LIMITED The Bank of East Asia, Limited annual report 2010",東亞銀行有限公司年報2010,English,,,"The Bank of East Asia, Limited",,,,,,,,,,,Hong Kong,2011,"292 p. : col. ill., ports, maps, charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2011-01976,BARON JUNIOR MUSIC ACADEMY Little green music. Grade 1 : for little green toddlers (aged 1.5-2.5),,English,,created and written by Baron Junior Music Academy ; illustrated by Ito Etsuko,Baron Junior Music Academy,978-988-19777-1-7,,,$,380.00,,,,,,Hong Kong,2010,49 p. : col. ill. ; 23 x 25 cm.,+ stickers + 1 CD,
2011-01977,BARON JUNIOR MUSIC ACADEMY Little green music. Grade 2 : for little green explorers (aged 2.5-3.5),,English,,created and written by Baron Junior Music Academy ; illustrated by Ito Etsuko,Baron Junior Music Academy,978-988-19777-2-4,,,$,380.00,,,,,,Hong Kong,2010,49 p. : col. ill. ; 23 x 25 cm.,+ stickers + 1 CD,
2011-00586,Hong Kong on high : aerial adventure,,English,Kasyan Bartlett,,Bonham Media Limited,978-988-19711-3-5,,,$,129.00,,,,,,Hong Kong,2010,unpaged : col. ill. ; 19 x 22 cm.,,
2011-00688,BASICS of personal financial management. Compulsory. Teacher’s edition,,English,Louis Cheng,,Pearson Education Asia Limited,978-988-00-3959-1,,pbk.,,Unpriced,,,,,,Hong Kong,2009,"224 p. : col. ill., charts ; 27 cm.","(NSS business, accounting and financial studies) Includes index",
2011-02583,BASIS Point 2011 annual,,English,,edited by Stephen Aldred.,Thomson Reuters Hong Kong,978-988-97088-9-4,,pbk.,,Unpriced,,,,,,Hong Kong,2011,"120 p. : col. ill., col. charts ; 29 cm.",,
2011-01029,"BELILIOS PUBLIC SCHOOL Belilios Public School 120 years memoir, 1890-2010",庇理羅士女子中學120年流金歲月,English,,,Belilios Old Girls Foundation,978-988-19735-1-1,,,$,200.00,,,,,,Hong Kong,2010,282 p. : ill. (some col.) ; 31 cm.,+ 1 DVD Text in Chinese and English,
2011-01400,On marginal spaces : artefacts of the mundane,,English,Peter Benz,,laiyan Projects Limited,978-988-17635-3-2,,pbk.,$,150.00,,,,,,Hong Kong,2011,132 p. : col. ill. ; 21 cm.,Includes bibliographical references,
2011-00265,BEYOND design : 2010 Shanghai expo architecture and space design,,English,,edited by Shaoqiang Wang,Sandu Publishing Company Limited,978-988-19018-6-6,,,,Unpriced,,,,,,Hong Kong,2010,"319 p. : ill. (chiefly col.), ports ; 30 cm.",,
2011-01463,"BIOLOGY success key for HKDSEE. 2&4, Genetics and evolution, health and diseases. For biology & combined science",,English,"Lau Tsz Kin Dickson, Lau Kwok Chi",,Times Publishing (Hong Kong) Limited,978-988-218-930-0,,sp,$,80.00,,,,,,Hong Kong,2010,"various paging : ill., charts ; 28 cm.",,
2011-02569,"BOC HONG KONG (HOLDINGS) LIMITED BOC Hong Kong (Holdings) Limited continuing connected transactions independent financial adviser to the independent board committee and the independent shareholders, January 20, 2011","中銀香港(控股)有限公司持續關連交易獨立董事委員會及獨立股東的獨立財務顧問, 2011年1月20日",English,,,BOC Hong Kong (Holdings) Limited,,,,,,,,,,,Hong Kong,2011,"26, 26 p. ; 29 cm.",Unpriced (pbk.),
2011-01438,BRUSH & shutter : early photography in China,,English,,"edited by Jeffrey W. Cody, Frances Terpak",Hong Kong University Press,978-988-8083-16-9,,,$,295.00,,,,,,Hong Kong,2011,"xi, 196 p. : col. ill., ports ; 28 x 29 cm.",Includes bibliographical references and index,
2011-01982,"BUILDING HIV competent churches : called to prophesy, reconcile and heal",,English,,"edited by Erlinda N. Senturias, Liza B. Lamis",Christian Conference of Asia,978-962-7439-56-1,,pbk.,USD,10.00,,,,,,Hong Kong,2010,203 p. : col. ill. ; 21 cm.,,
2011-00692,BUSINESS environment and introduction to management question bank. Compulsory,營商環境與管理導論題目庫.必修部份,English,,,Pearson Education Asia Limited,978-988-00-3969-0,,pbk.,,Unpriced,,,,,,Hong Kong,2009,313 p. : charts ; 30 cm.,"(NSS business, accounting and financial studies) Text in Chinese and English",
2011-00687,BUSINESS environment and introduction to management. Compulsory. Teacher’s edition,,English,"Pak Cho Kan, Lam Pun Lee",,Pearson Education Asia Limited,978-988-00-3958-4,,pbk.,,Unpriced,,,,,,Hong Kong,2009,"378 p. : col. ill., charts ; 27 cm.","(NSS business, accounting and financial studies) Includes index",
2011-01966,BUSINESS planner 2011,,English,,,Crystal Moon Enterprise Company,978-988-17188-4-6,,,$,36.00,,,,,,Hong Kong,2010,unpaged : maps ; 17 cm.,Text in Chinese and English,
2011-02601,CAMEL : camelus bactrianus : Saudi Arabia,,English,,,International Horizons Limited,978-988-19733-7-5,,,$,98.00,,,,,,Hong Kong,2011,unpaged : col. ill. ; 15 cm.,,
2011-02958,CENSUS AND STATISTICS DEPARTMENT Annual report on the consumer price index 2010,二零一零年消費物價指數年報,English,,,"Census and Statistics Department, Consumer Price Index Section",,,,,,,,,,,Hong Kong,2011,"v, [107] p. : charts ; 30 cm.",Text in Chinese and English $104.00 (pbk.),
2011-02915,CENSUS AND STATISTICS DEPARTMENT Gross domestic product 2010,,English,,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2010,142 p. ; 30 cm.,Unpriced,
2011-02914,CENSUS AND STATISTICS DEPARTMENT Hong Kong in figures,,English,Census and Statistics Department,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2011,44 p. ; 21 cm.,Unpriced,2011 ed.
2011-02956,CENSUS AND STATISTICS DEPARTMENT Population and household statistics analysed by District Council District 2009,按區議會分區劃分的人口及住戶統計資料2009,English,,,Census and Statistics Department. General Household Survey Section (2),,,,,,,,,,,Hong Kong,2010,[47] p. ; 30 cm.,Text in Chinese and English $28.00 (pbk.),
2011-02959,CENSUS AND STATISTICS DEPARTMENT Report on 2010 annual survey of companies in Hong Kong Representing parent companies located outside Hong Kong,二零一零年代表香港境外母公司的駐港公司按年統計調查報告,English,,,Census and Statistics Department. Business Expectation Statistics Section,,,,,,,,,,,Hong Kong,2010,"ii, 60 p. : charts ; 30 cm.",Text in Chinese and English. $39.00 (pbk.),
2011-02957,CENSUS AND STATISTICS DEPARTMENT Statistical digest of the services sector,服務業統計摘要,English,,,Census and Statistics Department. Logistics and Producer Prices Statistics Section,,,,,,,,,,,Hong Kong,2010,"xviii, [305] p. : charts ; 30 cm.",Text in Chinese and English $172.00 (pbk.),2010 ed.
2011-03033,CENSUS AND STATISTICS DEPARTMENT Women and men in Hong Kong key statistics,香港的女性及男性主要統計數字,English,,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2010,"xxvi, 219 p. : charts ; 30 cm.",Text in Chinese and English $94.00 (pbk.),2010 ed.
2011-01981,Shadow of thy wings,,English,"CHAN, Chuck",by Chuck Chan,"Pacific Rim Foundation, Limited",978-988-97906-3-9,,pbk.,$,110.00,,,,,,Hong Kong,2010,"ix, 118 p. ; 21 cm.",Heart for China series ; 2,
2011-00339,"CHAN, Joseph M. Policies for the sustainable development of the Hong Kong film industry",,English,"Joseph M. Chan, Anthony Y.H. Fung, Chun-hung Ng",,The Chinese University of Hong Kong. Hong Kong Institute of Asia- Pacific Studies,978-962-441-581-0,,pbk.,$,60.00,,,,,,Hong Kong,2010,"xxxiv, 152 p. : col. ill. ; 22 cm.",Includes index,
2011-02638,Chocolate’s brown study in the bag,,English,Rupert Chan,,Proverse Hong Kong,978-988-19932-1-2,,pbk.,$,98.00,,,,,,Hong Kong,2011,"xvi, 112 p. : col. ill. ; 21 cm.",,
2011-02595,Child talks in English. Daily care,,English,"Shiang- Jiun, Chang",,Rass Language,978-988-19801-5-1,,pbk.,$,81.00,,,,,,Hong Kong,2011,72 p. : col. ill. ; 20 x 21 cm.,,
2011-02598,Child talks in English. Fun time!,,English,"Shiang- Jiun, Chang",,Rass Language,978-988-19801-9-9,,pbk.,$,81.00,,,,,,Hong Kong,2011,[72] p. : col. ill. ; 20 x 21 cm.,,
2011-02600,Child talks in English. Good manners,,English,"Shiang-Jiun, Chang",,Rass Language,978-988-19801-6-8,,pbk.,$,81.00,,,,,,Hong Kong,2011,72 p. : col. ill. ; 20 x 21 cm.,,
2011-02599,Child talks in English. Learning fun!,,English,"Shiang-Jiun, Chang",,Rass Language,978-988-19801-7-5,,pbk.,$,81.00,,,,,,Hong Kong,2011,[60] p. : col. ill. ; 20 x 21 cm.,,
2011-02597,Child talks in English. Play time!,,English,"Shiang- Jiun, Chang",,Rass Language,978-988-19801-8-2,,pbk.,$,81.00,,,,,,Hong Kong,2011,[60] p. : col. ill. ; 20 x 21 cm.,,
2011-02596,Child talks in English. Yum! Yum!,,English,"Shiang- Jiun, Chang",,Rass Language,978-988-19801-4-4,,pbk.,$,81.00,,,,,,Hong Kong,2011,60 p. : col. ill. ; 20 x 21 cm.,,
2011-01979,CHEERS or jeers for Christmas 2010 and 2011 sales,,English,,"compiled by Research Department, Hong Kong Trade Development Council",Hong Kong Trade Development Council. Research Department,,,,,,,,,,,Hong Kong,2010,11 p. ; 30 cm.,(HKTDC trade watch) $30.00,
2011-01462,"CHEMISTRY success key for HKDSEE. 7, Chemistry of carbon compounds, patterns in the chemical world",,English,Lai Chi Ming,,Times Publishing (Hong Kong) Limited,978-988-218-823-5,,sp,$,70.00,,,,,,Hong Kong,2010,various paging : ill. ; 28 cm.,,
2011-01124,Amazing English : prepositions. Common collocations,,English,Domingo Cheng,,Junius Publications,978-988-18963-2-2,,pbk.,$,108.00,,,,,,Hong Kong,2010,271 p. : ill. ; 26 cm.,Text partially in Chinese,
2011-02391,"CHENG, Gum Yee-man “Black white Q & A 2007-2010” : Gum Cheng Yee Man solo art exhibition",《是非黑白2007-2010》 :阿金(鄭怡敏)個人作品展,English,,"edited by Cheung Clara, Cheng Yee Man",C&G Artpartment,978-98899959-5-9,,pbk.,,Unpriced,,,,,,Hong Kong,2010,28 p. : ill. ; 21 cm.,Text in Chinese and English,
2011-00581,Cerulean : Hally Cheng,藍:鄭哈雷,English,"CHENG, Halley",,Ora-Ora International Limited,978-988-18648-4-0,,pbk.,$,40.00,,,,,,Hong Kong,2010,[24] p. : col. ill. ; 21 x 29 cm.,Text in Chinese and English,
2011-02593,Happy baby. Go pee-pee,,English,"CHENG, Yummy",Yummy Cheng,Rass Language,978-988-19800-4-5,,pbk.,$,58.00,,,,,,Hong Kong,2011,36 p. : col. ill. ; 19 cm.,,
2011-02594,Happy baby. I can greet,,English,"CHENG, Yummy",Yummy Cheng,Rass Language,978-988-19800-2-1,,pbk.,$,58.00,,,,,,Hong Kong,2011,36 p. : col. ill. ; 19 cm.,,
2011-02592,Happy baby. My feelings,,English,"CHENG, Yummy",Yummy Cheng,Rass Language,978-988-19800-5-2,,pbk.,$,58.00,,,,,,Hong Kong,2011,36 p. : col. ill. ; 19 cm.,,
2011-02591,"Happy baby. Please, thank you, sorry",,English,"CHENG, Yummy",Yummy Cheng,Rass Language,978-988-19800-3-8,,pbk.,$,58.00,,,,,,Hong Kong,2011,36 p. : col. ill. ; 19 cm.,,
2011-02399,CHINA foreign enterprise directory 201,中國外資企業名錄2011,English,,,SinoMedia Holdings (Hong Kong) Limited,978-988-19444-8-1,,pbk.,USD,200.00,,,,,,Hong Kong,2011,"cxxxv, 863 p. ; 29 cm.",Text in simplified Chinese and English,12th ed.
2011-02400,CHINA logistics guide 2010,,English,2011,,SinoMedia Holdings (Hong Kong) Limited,978-988-19444-1-2,,pbk.,USD,80.00,,,,,,Hong Kong,2010,"lxvi, 671 p. : col. ill. ; 20 cm.",Text in simplified Chinese and English,
2011-02464,CHINA merchants in pictures : a photographic history of a century-old national enterprise,,English,,edited by Fu Yuning,Chung Hwa Book Company (Hong Kong) Limited,978-962-231-294-4,,,$,298.00,,,,,,Hong Kong,2011,413 p. : ill. (some col.) ; 26 cm.,,
2011-02401,CHINA MICE guide 2010-2011,,English,,edited by Tim Burroughs,SinoMedia Holdings (Hong Kong) Limited,978-988-18979-0-9,,pbk.,USD,50.00,,,,,,Hong Kong,2010,"lxv, 871 p. : ill. (chiefly col.), maps ; 20 cm.",Text in simplified Chinese and English,
2011-02663,CHINA MOLYBDENUM COMPANY LIMITED China Molybdenum Company Limited 2010 annual report,,English,,,China Molybdenum Company Limited,,,,,,,,,,,Hong Kong,2010,96 p. ; 28 cm.,Unpriced (pbk.),
2011-02893,CHINA RESOURCES CEMENT HOLDINGS LIMITED China Resources Cement Holdings Limited annual report 2010,華潤水泥控股有限公司年報2010,English,,,China Resources Cement Holdings Limited,,,,,,,,,,,Hong Kong,2011,"204 p. : col. ill., col. ports ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2011-00756,CHINA sourcing reports : baby travel & care products,,English,,,Publishers Representatives Limited,978-988-19235-3-0,,sp,USD,395.00,,,,,,Hong Kong,2010,119 p. : col. ill. ; 31 cm.,,
2011-00760,CHINA sourcing reports : car electronics,,English,,,Publishers Representatives Limited,978-988-19234-9-3,,sp,USD,495.00,,,,,,Hong Kong,2010,171 p. : col. ill. ; 31 cm.,,
2011-00757,CHINA sourcing reports : general hardware,,English,,,Publishers Representatives Limited,978-988-19235-4-7,,sp,USD,395.00,,,,,,Hong Kong,2010,151 p. : col. ill. ; 31 cm.,,
2011-00758,CHINA sourcing reports : PCBs,,English,,,Publishers Representatives Limited,978-988-19235-5-4,,sp,USD,495.00,,,,,,Hong Kong,2010,117 p. : col. ill. ; 31 cm.,,
2011-00759,CHINA sourcing reports : stationery & school supplies,,English,,,Publishers Representatives Limited,978-988-19235-6-1,,sp,USD,395.00,,,,,,Hong Kong,2010,128 p. : col. ill. ; 31 cm.,,
2011-00755,CHINA sourcing reports : underwear & swimwear,,English,,,Publishers Representatives Limited,978-988-19235-1-6,,sp,USD,395.00,,,,,,Hong Kong,2010,122 p. : col. ill. ; 31 cm.,,
2011-02465,CHINA sourcing reports : wireless communication equipment,,English,,,Publishers Representatives Limited,978-988-19235-7-8,,sp,USD,395.00,,,,,,Hong Kong,2010,114 p. : col. ill. ; 31 cm.,,
2011-00739,CHINA’S Pan-Pearl River Delta : regional cooperation and development,,English,,"edited by Anthony G.O. Yeh, Jiang Xu",Hong Kong University Press,978-988-8028-50-4,,pbk.,$,240.00,,,,,,Hong Kong,2011,"xvi, 243 p. : charts, maps ; 23 cm.",Includes bibliographical references and index,
2011-00737,CHINESE architecture and the beaux-arts,,English,,"edited by Jeffrey W. Cody, Nancy S. Steinhardt, Tony Atkin",Hong Kong University Press,978-988-8028-71-9,,,$,395.00,,,,,,Hong Kong,2011,"xxi, 385 p. : col. ill., ports ; 27 cm.",Includes bibliographical references and index,
2011-02652,CHINESE handwriting assessment tool (CHAT) : process tool user manual,,English,,edited by Theodora Wan,The Hong Kong Polytechnic University. Department of Rehabilitation Sciences,978-988-99378-8-1,,pbk.,,Free,,,,,,Hong Kong,2010,"ii, 55 p. : col. ill. ; 25 cm.",,
2011-02895,The CHINESE University of Hong Kong annual report 2009-2010,香港中文大學年報2009-2010,English,,,The Chinese University of Hong Kong. Information Services Office,,,,,,,,,,,Hong Kong,2011,"90 p. : col. ill., col. ports, col. charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2011-02650,CHITTY on contracts : Hong Kong specific contracts : first supplement to the Hong Kong Volume (2nd Ed),,English,,edited by Brian Gilchrist,Sweet & Maxwell Asia,978-962-661-375-7,,pbk.,,Unpriced,,,,,,Hong Kong,2010,"xxx, 129 p. ; 24 cm.",Includes index,2nd ed.
2011-00340,"CHIU, Stephen W. K. Welfare reform and social enterprise : towards an institutional theory of social enterprise",,English,"Stephen W.K. Chiu, Richard K.C. Wong",,The Chinese University of Hong Kong. Hong Kong Institute of Asia-Pacific Studies,978-962-441-902-3,,pbk.,$,20.00,,,,,,Hong Kong,2010,53 p. ; 22 cm.,(Public policy forum series ; 19) Includes bibliographical references Text partially in Chinese,
2011-02387,Canto street gourmet guide,死靚仔死靚妹齊齊食通guide,English,"Annie Chow, Paulus Lee",,Asia Education Times Limited,978-988-19817-1-4,,pbk.,$,88.00,,,,,,Hong Kong,2011,98 p. : bill. ; 18 cm.,"Text in Chinese, English and Japanese",
2011-01433,Speedy math slaughter for HKDSE. S4-S5. M2A,秒殺數學:延伸單元,English,Kenji Choy,,Wise Spread Education Publishing,978-988-19464-8-5,,pbk.,$,98.00,,,,,,Hong Kong,2010,"various paging : col. ill., charts ; 21 cm.",Text in Chinese and English,
2011-01435,Speedy math slaughter for HKDSE. S5-S6. Book B,秒殺數學,English,Kenji Choy,,Wise Spread Education Publishing,978-988-19464-4-7,,pbk.,$,88.00,,,,,,Hong Kong,2010,"various paging : col. ill., charts ; 21 cm.",Text in Chinese and English,
