serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2009-01575,Snowblind : from my protective colouring,,English,Andrew Barker,,Chameleon Press Limited,978-988-99565-6-1,,pbk.,$,99.00,,,,,,Hong Kong,2009,101 p. ; 21 cm.,,
2009-01679,A BASELINE study on torture in Sri Lanka,,English,,"edited by Basil Fernando, Sanjeewa R. Weerawickrame",Asian Human Rights Commission,978-962-8314-42-3,,pbk.,,Unpriced,,,,,,Hong Kong,2009,176 p. : ill. ; 23 cm.,,
2009-01472,BASIS Point 2004 annual : decoding the Asia- Pacific debt markets,,English,,edited by Bram Rosenfeld,Basis Point Publishing Limited,988-97088-2-5,,pbk.,,Unpriced,978-988-97088-2-5,,pbk.,,Unpriced,Hong Kong,2004,111 p. : col. charts ; 29 cm.,,
2009-01473,BASIS Point 2005 annual,,English,,edited by Bram Rosenfeld,Basis Point Publishing Limited,988-97088-3-3,,pbk.,,Unpriced,,,,,,Hong Kong,2005,"111 p. : col. ill., col. charts, col. port ; 29 cm.",,
2009-01474,BASIS Point 2009 annual,,English,,edited by Joseph Radford,Thomson Reuters Hong Kong,978-988-97088-7-0,,,,Unpriced,,,,,,Hong Kong,2009,"122 p. : col. ill., col. charts ; 29 cm.",,
2009-00129,"BASNET, Jit Man 258 dark days",,English,Jit Man Basnet,,Asian Human Rights Commission,978-962-8314-40-9,,pbk.,,Unpriced,,,,,,Hong Kong,2008,"xvii, 198 p. : ill. ; 21 cm.",,2nd ed.
2009-02116,BEANIE book : animals,,English,,,Magiker Company Limited,978-988-99610-0-8,,,USD,5.00,,,,,,Hong Kong,2009,"Unpaged : col. ill., 13 cm.",,
2009-02118,BEANIE book : colors,,English,,,Magiker Company Limited,978-988-99610-2-2,,,USD,5.00,,,,,,Hong Kong,2009,"Unpaged : col. ill., 13 cm.",,
2009-02119,BEANIE book : farm,,English,,,Magiker Company Limited,978-988-99610-3-9,,,USD,5.00,,,,,,Hong Kong,2009,"Unpaged : col. ill., 13 cm.",,
2009-02117,BEANIE book : shapes,,English,,,Magiker Company Limited,978-988-99610-1-5,,,USD,5.00,,,,,,Hong Kong,2009,"Unpaged : col. ill., 13 cm.",,
2009-00117,"BLAND, J. O. P. Houseboat days in China",,English,,by J.O.P. Bland ; illustrated by W.D. Straight,China Economic Review Publishing (Hong Kong) Limited,978-988-17621-2-2,,pbk.,USD,25.00,,,,,,Hong Kong,2008,"xi, 230 p. : ill., map ; 21 cm.",,
2009-00596,BOOK of master celestial seclusion,天隱子,English,,translated by Louis Komjathy,The Yuen Yuen Institute,978-988-98980-1-4,,pbk.,,Unpriced,,,,,,Hong Kong,2008,39 p. ; 21 cm.,Includes bibliographical references Text partially in Chinese,
2009-00589,BOOK of venerable masters,老子,English,,translated by Louis Komjathy,The Yuen Yuen Institute,978-988-98980-1-4,,pbk.,,Unpriced,,,,,,Hong Kong,2008,94 p. ; 21 cm.,Includes bibliographical references Text partially in Chinese,
2009-01194,BRAM de brandweerman,,English,,,Moon Face Publishing Limited,978-988-17284-2-5,,,USD,1.00,,,,,,Hong Kong,2008,Unpaged : col. ill. ; 26 cm.,Text in Dutch,
2009-00481,The BUDDHA’S teaching on the difficulty in repaying the deep kindness of parents,佛說父母恩重難報經,English,,,Hong Kong Industrial Company,978-988-17251-8-9,,pbk.,,Unpriced,,,,,,Hong Kong,2008,205 p. : ill. ; 21 cm.,Glossary Text in simplified Chinese and English,
2009-01475,BUDDHIST and Pali studies in honour of the venerable professor Kakkapalliye Anuruddha,,English,"edited K.L. Dhammajoti, Y. Karunadasa",,"The University of Hong Kong, Centre on Buddhist Studies",978-988-99296-4-0,,,$,250.00,,,,,,Hong Kong,2009,"xiii, 676 p. ; 25 cm.",Includes bibliographical references Text in English and Pali,
2009-00928,BUILDINGS DEPARTMENT Code of practice for structural use of concrete 2004,,English,,,Buildings Department,,,,,,,,,,,Hong Kong,2008,"xii, 180 p. : ill., charts ; 30 cm.",$78.00 (pbk.),2nd ed.
2009-00927,BUILDINGS DEPARTMENT Design manual : barrier free access 2008,,English,,,Buildings Department,,,,,,,,,,,Hong Kong,2008,"[124] p. : ill. (some col), maps, col. charts ; 30 cm.",$50.00 (pbk.),
2009-01074,BYFORD INTERNATIONAL LIMITED Byford International Limited interim report 2008-2009,百富國際有限公司2008,English,2009中期報告,,Byford International Limited,,,,,,,,,,,Hong Kong,2008,"24, 24 p. ; 21 cm.",Unpriced (pbk.),
2009-01677,CENSUS AND STATISTICS DEPARTMENT Annual report on the consumer price index 2008,二零零八年消費物價指數年報,English,,,"Census and Statistics Department, Consumer Price Index Section",,,,,,,,,,,Hong Kong,2009,"iv, 96 p. : charts ; 30 cm.",Text in Chinese and English $80.00 (pbk.),
2009-01581,CENSUS AND STATISTICS DEPARTMENT 2008 gross domestic product,,English,,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2009,158 p. ; 30 cm.,Unpriced (pbk.),
2009-00882,CENSUS AND STATISTICS DEPARTMENT Hong Kong as an information society,香港-資訊社會,English,,,Census and Statistics Department. Science and Technology Statistics Section,,,,,,,,,,,Hong Kong,2008,"xvi, 142 p. : charts ; 30 cm.",Text in Chinese and English $96.00 (pbk.),2008 ed.
2009-02371,CENSUS AND STATISTICS DEPARTMENT Hong Kong merchandise trade statistics annual supplement 2008 : country by commodity - domestic exports and reexports,香港商品貿易統計二零零八年周年附刊:按國家及貨品劃分-港產品出口及轉口,English,,,Census and Statistics Department. Trade Analysis Section,,,,,,,,,,,Hong Kong,2008,"XIII, 885 p. ; 30 cm.",Text in Chinese and English $379.00 (pbk.),
2009-02370,CENSUS AND STATISTICS DEPARTMENT Hong Kong merchandise trade statistics annual supplement 2008 : country by commodity - imports,香港商品貿易統計二零零八年周年附刊:按國家及貨品劃分-進口,English,,,Census and Statistics Department. Trade Analysis Section,,,,,,,,,,,Hong Kong,2008,"XIII, 479 p. ; 30 cm.",Text in Chinese and English $379.00 (pbk.),
2009-01929,CENSUS AND STATISTICS DEPARTMENT Social data collected via the general household survey special topics report no. 49 : Hong Kong residents working in the mainland of China,從綜合住戶統計調查搜集所得的社會資料第四十九號專題報告書:在中國內地工作的香港居民,English,,,"Census and Statistics Department, General Household Survey Section (2)",,,,,,,,,,,Hong Kong,2009,72 p. : charts ; 30 cm.,Text in Chinese and English $62.00 (pbk.),
2009-00378,CENSUS AND STATISTICS DEPARTMENT Thematic household survey report no. 37 :主題性住戶統計調查第三十七號報告書:資訊科技的使用情況和普及程度,,English,,,"Census and Statistics Department, Social Surveys Section",,,,,,,,,,,Hong Kong,2008,"xvii, 202 p. : charts ; 30 cm.",Text in Chinese and English $160.00 (pbk.),
2009-00893,‘CH’ ‘sh’ ‘th’’wh’ book,,English,,,Education Bureau,978-988-8814-16-9,,pbk.,,Unpriced,,,,,,Hong Kong,2009,12 p. : col. ill. ; 21 cm.,,
2009-00895,A big park,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-47-2,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-01919,I am so sad,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-37-3,,pbk.,,Unpriced,,,,,,Hong Kong,2009,9 p. : col. ill. ; 21 cm.,,
2009-00894,I live in a big park,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-46-5,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00902,Jobs to do,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-962-8967-15-5,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00905,Jungle friend,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-962-8967-52-0,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00903,Let’s get together,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-962-8967-16-2,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00900,Looking for food,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-52-6,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-01916,A lot of yummy soup,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-34-2,,pbk.,,Unpriced,,,,,,Hong Kong,2009,9 p. : col. ill. ; 21 cm.,,
2009-00901,Mat and Mip,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-962-8967-14-8,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-01921,Our restaurant,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-39-7,,pbk.,,Unpriced,,,,,,Hong Kong,2009,9 p. : col. ill. ; 21 cm.,,
2009-01917,The poor old man and the poor old woman,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-35-9,,pbk.,,Unpriced,,,,,,Hong Kong,2009,9 p. : col. ill. ; 21 cm.,,
2009-00898,A postcard,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-50-2,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00904,A postcard from a friend,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-962-8967-22-3,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-01912,Souperman,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-30-4,,pbk.,,Unpriced,,,,,,Hong Kong,2009,16 p. : col. ill. ; 21 cm.,,
2009-00906,A tale of two turtles,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-45-8,,pbk.,,Unpriced,,,,,,Hong Kong,2008,20 p. : col. ill. ; 21 cm.,,
2009-01920,Time for soup,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-38-0,,pbk.,,Unpriced,,,,,,Hong Kong,2009,9 p. : col. ill. ; 21 cm.,,
2009-00899,Turtle mail,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-51-9,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00897,Waiting for the mail,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-49-6,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-01918,We can help,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8019-36-6,,pbk.,,Unpriced,,,,,,Hong Kong,2009,9 p. : col. ill. ; 21 cm.,,
2009-00896,Where do we live?,,English,"CHAN, Bob",Bob Chan ; illustrated by Sam Yip,Education Bureau,978-988-8006-48-9,,pbk.,,Unpriced,,,,,,Hong Kong,2008,9 p. : col. ill. ; 21 cm.,,
2009-00381,"CHAN, Caroline Tak-wa Construction project management from theory to practice",,English,"Chan Caroline Tak-wa, Sin Hoi-cheung",,Pearson Education South Asia Pte Limited,978-981-06-8122-7,,pbk.,,Unpriced,,,,,,Essex,2009,"vi, 339 p. : ill., charts ; 24 cm.",Glossary Includes bibliographical references and index,
2009-01384,"CHAN, Cheuk Yue Kitty Sorry, I’m busy!",,English,,text by Chan Cheuk Yue Kitty ; illustrated by Wong Ho Leung Kelvin,Standing Committee on Language Education and Research,978-962-85603-4-9,,pbk.,,Unpriced,,,,,,Hong Kong,2008,16 p. : col. ill. ; 21 cm.,,
2009-01388,"CHAN, Cheuk Yue Kitty What’s that sound?",,English,,text by Chan Cheuk Yue Kitty ; illustrated by Wong Ho Leung Kelvin,Standing Committee on Language Education and Research,978-962-85603-6-3,,pbk.,,Unpriced,,,,,,Hong Kong,2008,12 p. : col. ill. ; 21 cm.,,
2009-01387,"CHAN, Cheuk Yue Kitty Who’s this monster?",,English,,text by Chan Cheuk Yue Kitty ; illustrated by Wong Ho Leung Kelvin,Standing Committee on Language Education and Research,978-962-85603-5-6,,pbk.,,Unpriced,,,,,,Hong Kong,2008,8 p. : col. ill. ; 21 cm.,,
2009-01150,SAT* subject test biology E/M study guide,,English,Gary Chan,,NTK Publishing Company Limited,978-988-98831-3-3,,pbk.,,Unpriced,,,,,,Hong Kong,2008,"290 p. : ill., charts ; 28 cm.",,
2009-01273,"CHAN, M. K. Scribbles, dribbles, ripples : calligraphy by M.K. Chan",詩韻墨戲:陳文巖書法,English,,edited by Wong Yin-fong Anita,"The University of Hong Kong, University Museum and Art Gallery",978-962-8038-79-4,,,$,100.00,,,,,,Hong Kong,2009,135 p. : ill. ; 32 cm.,Text in Chinese and English,
2009-00940,Phoenix satellite television : the art of broadcasting in China,,English,Yuen-ying Chan,,"The University of Hong Kong, Asia Case Research Centre",978-988-18079-9-1,,loose-leaf,$,2360.00,,,,,,Hong Kong,2006,"34 p. : charts, map ; 30 cm.",+ 1 DVD Includes bibliographical references,
2009-01246,My 32m2 apartment : a 30-year transformation,,English,Gary Chang,,MCCM Creations,978-988-99842-6-7,,pbk.,$,235.00,,,,,,Hong Kong,2008,159 p. : ill. (chiefly col.) ; 14 x 30 cm.,Text in Chinese and English,
2009-02434,CHEMISTRY for use with the IB diploma programme. Higher level,,English,Lanna Derry ... [et al.],,Pearson Education Australia Group Pty Limited,978-0-7339-9380-0,,pbk.,,Unpriced,,,,,,Port Melbourne,2009,"xii, 376 p. : col. ill., charts ; 27 cm.",+ 1 CD-ROM Includes index Glossary,
2009-02377,"CHENG, Christina Miu Bing In search of folk humour : the rebellious cult of Nezha",民間幽默的探討-哪吒反叛精神崇拜,English,Christina Miu Bing Cheng,,Great Mountain Culture Publications Limited,978-988-18117-1-4,,,$,198.00,,,,,,Hong Kong,2009,"233 p. : ill. (some col.), port ; 22 cm.",Includes bibliographical references Text partially in Chinese,
2009-02378,"CHEUNG, Yueh Wah A brighter side : protective and risk factors in the rehabilitation of Chronic Drug Abusers in Hong Kong",,English,Yueh Wah Cheung,,The Chinese University Press,978-962-996-408-5,,pbk.,$,200.00,,,,,,Hong Kong,2009,"xxi, 178 p. : charts ; 24 cm.",Includes bibliographical references and index,
2009-00110,CHINA business guide 2009,,English,,edited by Mollie Kirk,China Economic Review Publishing (Hong Kong) Limited,978-988-17718-0-3,,pbk.,USD,40.00,,,,,,Hong Kong,2008,"614 p. : col. ill., maps, col. maps ; 20 cm.",Includes index Text partially in simplified Chinese,
2009-00108,CHINA by numbers 2009,,English,,edited by Mollie Kirk,China Economic Review Publishing (Hong Kong) Limited,978-988-17718-7-2,,,USD,40.00,,,,,,Hong Kong,2008,"v, 250 p. : charts ; 21 cm.",Includes index,
2009-00113,CHINA financial services directory 2008,中國金融名錄2008,English,,,SinoMedia Limited,978-988-17718-2-7,,pbk.,USD,80.00,,,,,,Hong Kong,2008,864 p. ; 20 cm.,Includes index Text in simplified Chinese and English,
2009-00119,CHINA foreign enterprise directory 2008,,English,,,SinoMedia Limited,978-988-17326-4-4,,pbk.,USD,200.00,,,,,,Hong Kong,2008,940 p. ; 29 cm.,Text in simplified Chinese and English,7th ed.
2009-00120,CHINA foreign enterprise directory 2009,,English,,,SinoMedia Limited,978-988-17718-8-9,,pbk.,USD,200.00,,,,,,Hong Kong,2009,1028 p. ; 29 cm.,Text in simplified Chinese and English,8th ed.
2009-01083,CHINA FORTUNE GROUP LIMITED China Fortune Group Limited interim report 2008,中國富強集團有限公司中期報告2008,English,,,China Fortune Group Limited,,,,,,,,,,,Hong Kong,2008,"22, 22 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-00112,CHINA hotel directory 2008,,English,,edited by Tim Burroughs,SinoMedia Limited,978-988-17718-1-0,,pbk.,USD,50.00,,,,,,Hong Kong,2008,936 p. : col. ill. ; 20 cm.,Includes index Text partially in simplified Chinese,
2009-00582,CHINA media directory 2009,中國媒體名錄2009,English,,edited by Tim Burroughs,SinoMedia Limited,978-988-17718-5-8,,pbk.,$,US80.00,,,,,,Hong Kong,2009,553 p. ; 29 cm.,Includes index Text in simplified Chinese and English,
2009-02127,CHINA METAL RESOURCES HOLDINGS LIMITED China Metal Resources Holdings Limited annual report 2008,中國金屬資源控股有限公司年報2008,English,,,China Metal Resources Holdings Limited,,,,,,,,,,,Hong Kong,2009,"100, 100 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2009-00124,"CHINA OVERSEAS LAND & INVESTMENT LIMITED China Overseas Land & Investment Limited open offer with an assured allotment of one offer share for every twenty-five existing shares held, 6 January 2009","中國海外發展有限公司公開發售每持有二十五股現有股份保證配發一股發售股份,二零零九年一月六日",English,,,China Overseas Land & Investment Limited,,,,,,,,,,,Hong Kong,2009,"130, 130 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2009-01077,"CHINA RAILWAY LOGISTICS LIMITED China Railway Logistics Limited discloseable transaction placing of convertible preference shares of Linefan, 19 January 2009","中國鐵路貨運有限公司須予披露交易配售藍帆可換股優先股,二零零九年一月十九日",English,,,China Railway Logistics Limited,,,,,,,,,,,Hong Kong,2009,"12, 12 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2009-02364,CHINA sourcing reports : camping & outdoor gear,,English,,,Publishers Representatives Limited,978-988-8004-49-2,,sp,USD,395.00,,,,,,Hong Kong,2009,"86 p. : col. ill., col. map, col. charts ; 31 cm.",,
2009-01089,CHINA sourcing reports : computer monitors,,English,,,Publishers Representatives Limited,978-988-8004-47-8,,sp,USD,495.00,,,,,,Hong Kong,2008,"68 p. : col. ill., col. charts ; 32 cm.",,
2009-02365,CHINA sourcing reports : mobile phone accessories,,English,,,Publishers Representatives Limited,978-988-8004-51-5,,sp,USD,495.00,,,,,,Hong Kong,2009,"114 p. : col. ill., col. map, col. charts ; 31 cm.",,
2009-02366,CHINA sourcing reports : mobile phones,,English,,,Publishers Representatives Limited,978-988-8004-52-2,,sp,USD,495.00,,,,,,Hong Kong,2009,"87 p. : col. ill., col. map, col. charts ; 31 cm.",,
2009-00878,CHRISTIAN FAMILY SERVICE CENTRE Christian Family Service Centre annual report 2007-08,基督教家庭服務中心2007-08年報,English,,,Christian Family Service Centre,,,,,,,,,,,Hong Kong,2008,"112 p. : col. ill., col. chart ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2009-01204,Air : Sam Chui air photos,,English,"CHUI, Sam",,Zkoob Limited,978-988-17500-0-6,,pbk.,$,188.00,,,,,,Hong Kong,2008,Unpaged : col. ill. ; 21 x 29 cm.,,
2009-02415,CITY E-SOLUTIONS LIMITED City e-Solutions Limited annual report 2008,,English,,,City e-Solutions Limited,,,,,,,,,,,Hong Kong,2009,"80 p. : ill., port, chart ; 27 cm.",Unpriced (pbk.),
2009-01467,CIVIL AVIATION DEPARTMENT Civil Aviation Department Hong Kong annual report 2007-2008,香港民航處二零零七至零八年度報告,English,,,Civil Aviation Department,,,,,,,,,,,Hong Kong,2009,"73 p. : col. ill., col. charts, col. ports ; 30 cm.",Text in Chinese and English $50.00 (pbk.),
2009-01093,CLASSROOM pre-secondary 1 English assorted exercises. P.5,課室中一入學前英文科分類練習. P.5,English,T.Y. Tsang,,Classroom Publications Limited,978-988-212-640-4,,pbk.,$,55.00,,,,,,Hong Kong,2009,79 p. : ill. (some col.) ; 29 cm.,+ answer key + 1 audio CD (Hong Kong attainment tests),New ed.
2009-01092,CLASSROOM pre-secondary 1 English assorted exercises. P.6,課室中一入學前英文科分類練習. P.6,English,R. Tsui,,Classroom Publications Limited,978-988-212-641-1,,pbk.,$,55.00,,,,,,Hong Kong,2009,79 p. : ill. (some col.) ; 29 cm.,+ answer key + 1 audio CD (Hong Kong attainment tests),New ed.
2009-02373,Heinemann IGCSE chemistry,,English,Andrew Clegg,,Pearson Education Limited,978-0-435966-79-9,,pbk.,GBP,11.94,,,,,,Essex,2009,"viii, 255 p. : col. ill., charts ; 27 cm.",+ 1 CD-ROM,
2009-01087,"CLIFTON, Cary A. New testament survey. 1, 100 steps",,English,Cary A. Clifton,,Asian Development Ministries Limited,978-988-99239-8-3,,sp,,Unpriced,,,,,,Hong Kong,2009,137 p. : ill. ; 30 cm.,,
2009-00942,"CLIFTON, Cary A. Old testament survey. Part 1, 100 steps",,English,Cary A. Clifton,,Asian Development Ministries Limited,978-988-99239-7-6,,sp,,Unpriced,,,,,,Hong Kong,2009,168 p. : ill. ; 30 cm.,Text partially in simplified Chinese,
2009-01199,CLIMATE change negotiations : can Asia change the game?,,English,,"edited by Christine Loh, Andrew Stevenson, Simon Tay",Civic Exchange,978-988-17507-1-6,,pbk.,$,240.00,,,,,,Hong Kong,2008,220 p. ; 23 cm.,Includes bibliographical references,
2009-02682,CLP HOLDINGS LIMITED CLP Holdings Limited annual report 2008,,English,,,CLP Holdings Limited,,,,,,,,,,,Hong Kong,2009,"212 p. : col. ill., col. ports, col. charts ; 30 cm.",Unpriced (sp.),
