serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2014-01647,"BALPE, Anne-Gaelle The little piece of red wool",,English,,texted by Anne-Gaelle Balpe ; illustrated by Eve Tharlet,Michael Neugebauer (Publishing) Limited,978-988-8240-08-1,,,GBP,11.99,,,,,,Hong Kong,2014,unpaged : col. ill. ; 30 cm.,,
2014-02329,BARBIE : ladder collection : 10 books in one!,,English,,,Active Minds Limited,978-988-8155-44-6,,,$,118.00,,,,,,Hong Kong,2013,308 p. : col. ill. ; 21 cm.,Learning ladder,
2014-01644,Life is a celebration!,,English,"Linard Bardill, John A. Rowe",,Michael Neugebauer (Publishing) Limited,978-988-8240-11-1,,,GBP,7.99,,,,,,Hong Kong,2014,unpaged : col. ill. ; 19 cm.,,
2014-02189,BASIC principles in biology for HKDSEE. Book 2,,English,Y.K. To,,"Hung Fung Book Co., Ltd",978-962-354-216-6,,pbk.,$,155.00,,,,,,Hong Kong,2013,"vii, 438 p. : ill., charts ; 26 cm.",Includes index Text partially in Chinese,5th ed.
,BASIC principles in biology for HKDSEE. Book 3,,English,Y.K. To,,4th published,,,,,,,,,,,,,"Hong Kong : Hung Fung Book Co., Ltd., 2013",,
2014-01205,BAUHAUS INTERNATIONAL (HOLDINGS) LIMITED Bauhaus International (Holdings) Limited interim report 2013,包浩斯國際(控股)有限公司中期報告2013,English,,,Bauhaus International (Holdings) Limited,,,,,,,,,,,Hong Kong,2013,"40, 40 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01335,BEHAVIOR in organizations,,English,,,Pearson Education Asia Limited,978-988-232-062-8,,pbk.,$,269.00,,,,,,Hong Kong,2014,"xi, 346 p : ill. ; 24 cm.",Includes bibliographical references,
2014-00231,BEP INTERNATIONAL HOLDINGS LIMITED BEP International Holdings Limited interim report 2013,百靈達國際控股有限公司中期報告2013,English,,,BEP International Holdings Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01199,BESTWAY INTERNATIONAL HOLDINGS LIMITED Bestway International Holdings Limited interim report 2013,百威國際控股有限公司二零一三中期報告,English,,,Bestway International Holdings Limited,,,,,,,,,,,Hong Kong,2013,28 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01184,BIRMINGHAM INTERNATIONAL HOLDINGS LIMITED Birmingham International Holdings Limited annual report 2013,伯明翰環球控股有限公司年報2013,English,,,Birmingham International Holdings Limited,,,,,,,,,,,Hong Kong,2013,136 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01811,Summer’s end,,English,Harper Bliss,,Ladylit Limited,978-988-12898-1-0,,pbk.,$,60.00,,,,,,Hong Kong,2014,122 p. ; 21 cm.,,
2014-00102,"BOC HONG KONG (HOLDINGS) LIMITED BOC Hong Kong (Holdings) Limited continuing connected transactions, 31 December 2013","中銀香港(控股)有限公司持續關連交易, 2013年12月31日",English,,,BOC Hong Kong (Holdings) Limited,,,,,,,,,,,Hong Kong,2013,"28, 28 p. ; 29 cm.",Unpriced (pbk.),
2014-01412,The year of the horse activity book,,English,"BRENNAN, Sarah",written by Sarah Brennan ; illustrated by Harry Harrison,Auspicious Times Limited,978-988-16098-4-7,,pbk.,$,55.00,,,,,,Hong Kong,2014,20 p. : ill. (some col.) ; 21 x 26 cm.,The Chinese calendar tales,
2014-00943,BRIGHT SMART SECURITIES & COMMODITIES GROUP LIMITED Bright Smart Securities & Commodities Group Limited 2013/14 interim report,耀才證券金融集團有限公司2013,English,14中期報告,,Bright Smart Securities & Commodities Group Limited,,,,,,,,,,,Hong Kong,2013,68 p. : col. charts ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01179,BRILLIANCE WORLDWIDE HOLDINGS LIMITED Brilliance Worldwide Holdings Limited 2013 annual report,金滿堂控股有限公司2013年報,English,,,Brilliance Worldwide Holdings Limited,,,,,,,,,,,Hong Kong,2013,"78, 78 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2014-02267,BRILLIANCE WORLDWIDE HOLDINGS LIMITED Brilliance Worldwide Holdings Limited first quarterly report for the three months ended 31 December 2013,金滿堂控股有限公司第一季度報告截至二零一三年十二月三十一日止三個月,English,,,Brilliance Worldwide Holdings Limited,,,,,,,,,,,Hong Kong,2014,"14, 14 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01171,"BRILLIANCE WORLDWIDE HOLDINGS LIMITED Brilliance Worldwide Holdings Limited notice of annual general meeting, proposed grant of general mandates to repurchase shares and issue new shares and re-election of directors, 31st December, 2013","金滿堂控股有限公司股東週年大會通告、建設授出配發及發行新股份之一般授權、本公司購回其自身股份及建議重選董事,二零一三年十二月三十一日",English,,,Brilliance Worldwide Holdings Limited,,,,,,,,,,,Hong Kong,2013,"17, 17 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00761,The history of rates in Hong Kong : a brief review of 170 years of rating in Hong Kong,,English,"BROWN, Mimi",by Mimi Brown,Rating and Valuation Department,978-988-12810-0-5,,pbk.,$,228.00,,,,,,Hong Kong,2013,"79 p. : ill. (some col.), col. maps, col. port ; 26 cm.",,3rd ed.
2014-01144,CARRIANNA GROUP HOLDINGS COMPANY LIMITED Carrianna Group Holdings Company Limited interim report 2013/2014,佳寧娜集團控股有限公司2013,English,2014中期報告,,Carrianna Group Holdings Company Limited,,,,,,,,,,,Hong Kong,2013,40 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2014-00777,Alice’s adventures in wonderland,愛麗絲夢遊仙境,English,"CARROLL, Lewis",Lewis Carroll著; translated by吳鈞陶,The Commercial Press (Hong Kong) Limited,978-962-07-0351-5,,,$,78.00,,,,,,Hong Kong,2013,256 p. : ill. ; 22 cm.,Text in Chinese and English,
2014-01668,Color me odd,,English,Matt Casper,,Evergrow Limited,978-988-19072-9-5,,,USD,19.99,,,,,,Hong Kong,2012,119 p. : ill. ; 19 cm.,Emotes! ; 3,
2014-01670,The “d-bomb”,,English,Matt Casper,,Evergrow Limited,978-988-12119-2-7,,,USD,24.99,,,,,,Hong Kong,2014,290 p. : ill. ; 19 cm.,Emotes! ; 5,
2014-01667,Solo and Senex : friends forever,,English,Matt Casper,,Evergrow Limited,978-988-19072-0-2,,,USD,19.99,,,,,,Hong Kong,2012,105 p. : ill. ; 19 cm.,Emotes! ; 2,
2014-01669,"You (yes, you)",,English,Matt Casper,,Evergrow Limited,978-988-12119-1-0,,,USD,24.99,,,,,,Hong Kong,2013,276 p. : ill. ; 19 cm.,Emotes! ; 4,
2014-02123,CELEBRATE INTERNATIONAL HOLDINGS LIMITED Celebrate International Holdings Limited 2013/2014 interim report,譽滿國際(控股)有限公司2013,English,2014中期業績報告,,Celebrate International Holdings Limited,,,,,,,,,,,Hong Kong,2014,"22, 22 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00774,"CELEBRATING 30 years of excellence at the Faculty of Dentistry, The University of Hong Kong",,English,,edited by Trevor Lane,The University of Hong Kong. Faculty of Dentistry,978-988-17079-6-3,,pbk.,,Unpriced,,,,,,Hong Kong,2013,"60 p. : col. ill., col. port ; 30 cm.",,
2014-01816,CENSUS AND STATISTICS DEPARTMENT Gross domestic product 2013,,English,,,Census and Statistics Department,,,,,,,,,,,Hong Kong,2014,151 p. ; 30 cm.,Unpriced,
2014-02265,"CGN MINING COMPANY LIMITED CGN Mining Company Limited major and continuing connected transaction : framework agreement regarding intra group financial services, 28 February 2014","中廣核礦業有限公司主要及持續關連交易:有關集團內部財務服務之框架協議, 2014年2月28日",English,,,CGN Mining Company Limited,,,,,,,,,,,Hong Kong,2014,"34, 34 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00219,"CGN MINING COMPANY LIMITED CGN Mining Company Limited major and continuing connected transaction, revolving loan facility agreement and continuing connected transaction, sale of natural uranium framework agreement and notice of extraordinary general meeting, 19 November 2013","中廣核礦業有限公司主要及持續關連交易,循環額度貨款合同及持續關連交易,銷售天然鈾框架協議及股東特別大會通告, 2013年11月19日",English,,,CGN Mining Company Limited,,,,,,,,,,,Hong Kong,2013,"57, 57 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00585,"CHAN, Caroline T. W. Estimating and measurement for simple building works in Hong Kong",,English,Caroline T.W. Chan,,Pearson Education Asia Limited,978-988-232-052-9,,pbk.,$,250.00,,,,,,Hong Kong,2014,"xii, 284 p. : ill. ; 26 cm.",Includes index,
2014-00768,"CHAN, Rachel Hoi Sze Search for butterflies. World series. Nanling National Nature Reserve Guangdong, China",尋蝶篇.海外之旅.中國廣東南嶺國家級自然保護區,English,,"written and photographed by Chan Hoi Sze Rachel, Young James John",Hong Kong Lepidopterists’ Society Limited,978-988-12209-2-9,,pbk.,$,120.00,,,,,,Hong Kong,2013,"235 p. : col. ill., col. maps ; 21 cm.",,
2014-01129,"All kinds of everything from Chinese civilization to world history. Vol. 2, World history (4500BCE-1911)",,English,Warren Chan,,Red Publish,978-988-8270-04-0,,pbk.,$,98.00,,,,,,Hong Kong,2013,371 p. ; 21 cm.,,
2014-02270,CHANCETON FINANCIAL GROUP LIMITED Chanceton Financial Group Limited 2013 third quarterly report,川盟金融集團有限公司2013第三季度報告,English,,,Chanceton Financial Group Limited,,,,,,,,,,,Hong Kong,2014,"20, 20 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00201,CHANCETON FINANCIAL GROUP LIMITED Chanceton Financial Group Limited interim report 2013,川盟金融集團有限公司中期報告2013,English,,,Chanceton Financial Group Limited,,,,,,,,,,,Hong Kong,2013,"42, 42 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00753,CHEMISTRY in 24 hours for the HKDSE. Book 1,,English,M.W. Tang,,Fillans Press Limited,978-962-7326-77-9,,pbk.,$,82.00,,,,,,Hong Kong,2013,138 p. : ill. ; 23 cm.,,Rev. ed.
2014-01083,"CHEMISTRY new success key for HKDSEE. 6, Chemical reactions and energy, rate of reaction, chemical equilibrium. For chemistry & combined science",,English,Lai Chi Ming,,Times Publishing (Hong Kong) Limited,978-988-226-371-0,,sp,,Unpriced,,,,,,Hong Kong,2013,various paging : ill. ; 28 cm.,,
2014-02324,"CHEMISTRY new success key for HKDSEE. 7, Chemistry of carbon compounds, patterns in the chemical world",,English,Lai Chi Ming,,Times Publishing (Hong Kong) Limited,978-988-226-372-7,,sp,,Unpriced,,,,,,Hong Kong,2014,various paging : ill. ; 28 cm.,,
2014-01080,"CHEMISTRY study guide for HKDSEE. 9, Chemistry of carbon compounds, patterns in the chemical world. For chemistry only",,English,"Y.C. Wong, C.T. Wong",,Times Publishing (Hong Kong) Limited,978-988-226-466-3,,pbk.,,Unpriced,,,,,,Hong Kong,2013,119 p. : ill. ; 28 cm.,Includes index,
2014-01137,CHEN HSONG HOLDINGS LIMITED Chen Hsong Holdings Limited 2013/2014 interim report,震雄集團有限公司2013,English,2014中期報告,,Chen Hsong Holdings Limited,,,,,,,,,,,Hong Kong,2013,"36, 36 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01807,Construction law and practice in Hong Kong,,English,"Teresa Cheng, Gary Soo",,Thomson Reuters Hong Kong Limited,978-962-661-555-3,,pbk.,$,510.00,,,,,,Hong Kong,2013,"cxxxviii, 809 p. : chart ; 24 cm.",Includes index,3rd ed.
2014-01808,Construction law and practice in Hong Kong,,English,"Teresa Cheng, Gary Soo",,Thomson Reuters Hong Kong Limited,978-962-661-554-6,,,$,2850.00,,,,,,Hong Kong,2013,"cxxxviii, 809 p. : chart ; 24 cm.",Includes index,3rd ed.
2014-01213,CHEONG MING INVESTMENTS LIMITED Cheong Ming Investments Limited interim report 2013-14,昌明投資有限公司中期業績報告2013-14,English,,,Cheong Ming Investments Limited,,,,,,,,,,,Hong Kong,2013,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01232,"CHEUNG, Adam Ka-lok Husband’s resources, power motive, and physical violence against married women in Hong Kong : a mediational analysis of resource theories in a Chinese society",,English,Adam Ka-lok Cheung,,The Chinese University of Hong Kong. Hong Kong Institute of Asia-Pacific Studies,978-962-441-222-2,,pbk.,$,20.00,,,,,,Hong Kong,2012,35 p. ; 22 cm.,(Occasional paper (Hong Kong Institute of Asia-Pacific Studies) ; No. 222) Text partially in Chinese,
2014-01536,"CHEUNG, Alexander Tai-chong The history of the world in one sitting",,English,,texted by Alexander Cheung Tai-chong ; illustrated by Wu Jiun-kuang,Joint Publishing (Hong Kong) Company Limited,978-962-04-3482-2,,,$,188.00,,,,,,Hong Kong,2013,111 p. : col. ill. ; 27 cm.,,
2014-01024,"CHEUNG, Frederick Hok-ming Biographical notes of the Jesuits in Hong Kong, 1926-2000",,English,,by Frederick Hok-ming Cheung,Wonder Press Company,978-988-12238-2-1,,pbk.,,Unpriced,,,,,,Hong Kong,2014,144 p. : col. ill. ; 21 cm.,,2nd ed.
2014-01223,CHINA ASSURANCE FINANCE GROUP LIMITED China Assurance Finance Group Limited third quarterly report 2013,中國融保金融集團有限公司第三季業績報告2013,English,,,China Assurance Finance Group Limited,,,,,,,,,,,Hong Kong,2013,28 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01197,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED China Automotive Interior Decoration Holdings Limited 2013 third quarterly report,中國汽車內飾集團有限公司2013第三季度業績報告,English,,,China Automotive Interior Decoration Holdings Limited,,,,,,,,,,,Hong Kong,2013,16 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2014-00206,CHINA BIO CASSAVA HOLDINGS LIMITED China Bio Cassava Holdings Limited third quarterly report 2013,中國生物資源控股有限公司第三季度報告2013,English,,,China Bio Cassava Holdings Limited,,,,,,,,,,,Hong Kong,2013,"17, 17 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00218,"CHINA BIO-MED REGENERATION TECHNOLOGY LIMITED China Bio-Med Regeneration Technology Limited Discloseable and connected transaction - acquisition of the sale share and the debt involving issue of consideration shares under specific mandate and notice of extraordinary general meeting, 4 December 2013","中國生物醫學再生科技有限公司須予披露及關連交易-收購待售股份及債項其中涉及根據特別授權發行代價股份及股東特別大會通告,二零一三年十二月四日",English,,,China Bio-Med Regeneration Technology Limited,,,,,,,,,,,Hong Kong,2013,"53, 53 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01160,CHINA BIO-MED REGENERATION TECHNOLOGY LIMITED China Bio-Med Regeneration Technology Limited interim report 2013,中國生物醫學再生科技有限公司中期報告2013,English,,,China Bio-Med Regeneration Technology Limited,,,,,,,,,,,Hong Kong,2013,44 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2014-02262,"CHINA ECO-FARMING LIMITED China Eco-Farming Limited (I) Placing of new shares under specific mandate; (II) Proposed acquisition involving the issue of convertible bonds under specific mandate; (III) Increase in authorised share capital and (IV) Notice of special general meeting, 19 February 2014","中國農業生態有限公司(I)根據特別授權配售新股份; (II)涉及根據特別授權發行可換股債券之建議收購事項; (III)增加法定股本及(IV)股東特別大會通告,二零一四年二月十九日",English,,,China Eco-Farming Limited,,,,,,,,,,,Hong Kong,2014,"42, 42 p. : charts ; 28 cm.",Unpriced (pbk.),
2014-00195,CHINA ECO-FARMING LIMITED China Eco-Farming Limited third quarterly report 2013,中國農業生態有限公司第三季度業績報告2013,English,,,China Eco- Farming Limited,,,,,,,,,,,Hong Kong,2013,"18, 18 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01487,CHINA ENVIRONMENTAL ENERGY INVESTMENT LIMITED China Environmental Energy Investment Limited interim report 2013/2014,中國環保能源投資有限公司中期報告2013,English,2014,,China Environmental Energy Investment Limited,,,,,,,,,,,Hong Kong,2013,"48, 48 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00222,CHINA FORTUNE FINANCIAL GROUP LIMITED China Fortune Financial Group Limited interim report 2013,中國富強金融集團有限公司中期報告2013,English,,,China Fortune Group Limited,,,,,,,,,,,Hong Kong,2013,"36, 36 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01221,CHINA FORTUNE INVESTMENTS (HOLDING) LIMITED China Fortune Investments (Holding) Limited third quarterly report 2013,中國幸福投資(控股)有限公司第三季度業績報告2013,English,,,China Fortune Investments (Holding) Limited,,,,,,,,,,,Hong Kong,2013,"18, 18 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01494,CHINA HEALTHCARE HOLDINGS LIMITED China Healthcare Holdings Limited interim report 2013,中國衛生控股有限公司中期報告2013,English,,,China Healthcare Holdings Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01149,CHINA-HONGKONG PHOTO PRODUCTS HOLDINGS LIMITED China-Hongkong Photo Products Holdings Limited interim report 2013/14,中港照相器材集團有限公司中期業績報告2013,English,14,,China-Hongkong Photo Products Holdings Limited,,,,,,,,,,,Hong Kong,2013,40 p. ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01157,CHINA HUISHAN DAIRY HOLDINGS COMPANY LIMITED China Huishan Dairy Holdings Company Limited 2013 Interim Report,中國輝山乳業控股有限公司2013中期報告,English,,,China Huishan Dairy Holdings Company Limited,,,,,,,,,,,Hong Kong,2013,"56, 56 p. : col. ill. ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01164,CHINA INVESTMENT DEVELOPMENT LIMITED China Investment Development Limited interim report 2013,中國投資開發有限公司中期報告2013,English,,,China Investment Development Limited,,,,,,,,,,,Hong Kong,2013,"34, 34 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01132,CHINA LEASON CBM & SHALE GAS GROUP COMPANY LIMITED China Leason CBM & Shale Gas Group Company Limited 2013 third quarterly report,中國聯盛煤層氣頁岩氣產業集團有限公司2013第三季業績報告,English,,,China Leason CBM & Shale Gas Group Company Limited,,,,,,,,,,,Hong Kong,2013,40 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2014-02179,CHINA master tax guide 2013,,English,14,,CCH Hong Kong Limited,978-988-12216-3-6,,pbk.,$,1100.00,,,,,,Hong Kong,2014,"xvii, 795 p. : charts ; 23 cm.",(Tax & accounting series ; 1964H) Includes index,11th ed.
2014-01140,CHINA MOTION TELECOM INTERNATIONAL LIMITED China Motion Telecom International Limited interim report 2013/14,潤迅通信國際有限公司2013,English,14中期報告,,China Motion Telecom International Limited,,,,,,,,,,,Hong Kong,2013,"44, 44 p. ; 24 cm.",Text in Chinese and English Unpriced (pbk.),
2014-01224,CHINA NETCOM TECHNOLOGY HOLDINGS LIMITED China Netcom Technology Holdings Limited third quarterly report 2013,中彩網通控股有限公司第三季度報告2013,English,,,China Netcom Technology Holdings Limited,,,,,,,,,,,Hong Kong,2013,"22, 22 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2014-00211,"CHINA ORIENTAL CULTURE GROUP LIMITED China Oriental Culture Group Limited proposed capital reorganisation; proposed change of company name; and notice of extraordinary general meeting, 2 December 2013","中國東方文化集團有限公司建議股本重組;建議更改公司名稱;及股東特別大會通告,二零一三年十二月二日",English,,,China Oriental Culture Group Limited,,,,,,,,,,,Hong Kong,2013,various paging ; 28 cm.,Text in Chinese and English Unpriced (pbk.),
2014-02278,CHINA RESOURCES CEMENT HOLDINGS LIMITED China Resources Cement Holdings Limited 2013 annual report,華潤水泥控股有限公司年報2013,English,,,China Resources Cement Holdings Limited,,,,,,,,,,,Hong Kong,2014,216 p. : col. ill. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2014-01492,CHINA SANDI HOLDINGS LIMITED China Sandi Holdings Limited 2013/14 interim report,中國三迪控股有限公司2013,English,14中期報告,,China Sandi Holdings Limited,,,,,,,,,,,Hong Kong,2013,"50, 50 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
