serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2008-01526,TEN greatest landscapes,世界十大自然風景,English,,,PSI-Elite Education Limited,978-988-17316-9-2,,,$,238.00,,,,,,Hong Kong,2008,12 plates : col. ill. ; 28 cm.,(Encyclopedic knowledge - geography) Text in Chinese and English,
2008-00554,Vanity fair,,English,"THACKERAY, William",William Thackeray ; retold by Pauline Francis,Pearson Education Limited,978-1-4058-6237-0,,pbk.,,Unpriced,978-1-4058-7942-2,,audio-CD,,Unpriced,Essex,2008,"viii, 60 p. : col. ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 3),
2008-02871,Vanity fair,,English,William Thackeray,,Oxford University Press (China) Limited,978-0-19-546258-6,,pbk.,$,54.00,,,,,,Hong Kong,2007,124 p. : ill. ; 20 cm.,Oxford progressive English readers. Level 5,2nd ed.
2008-00605,The THREE little pigs,,English,,,Learn and Play Limited,978-962-8827-36-7,,,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 20 cm.,I can read ; Level 2,
2008-01877,TIME horizon : 40 years of the Aberdeen Boat Club,,English,,edited by Fulton Jim,PPP Company Limited,978-988-99795-1-5,,pbk.,$,88.00,,,,,,Hong Kong,2007,84 p. : col. ill. ; 30 cm.,,
2008-02622,"TING, Joseph S. P. A preliminary study : prominent figures in the Hong Kong cemetery at Happy Valley",人物與歷史:跑馬地香港墳場初探,English,Joseph S.P. Ting,,Hong Kong Institute of Contemporary Culture,,,,,,,,,,,Hong Kong,2008,68 p. : ill. (chiefly col.) ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2008-01551,"TO pierce the material screen : an anthology of 20th-century Hong Kong literature. Vol. I, Fiction",,English,,edited by Eva Hung with the assistance of Chi-yin Ip,The Chinese University of Hong Kong. Research Centre for Translation,978-962-7255-34-5,,,$,250.00,,,,,,Hong Kong,2008,276 p. ; 24 cm.,,
2008-01552,"TO pierce the material screen : an anthology of 20th-century Hong Kong literature. Vol. II, Essays and poetry",,English,,edited by Eva Hung with the assistance of Chi-yin Ip,The Chinese University of Hong Kong. Research Centre for Translation,978-962-7255-35-2,,,$,250.00,,,,,,Hong Kong,2008,252 p. ; 24 cm.,,
2008-00108,Anna Karenina,,English,"TOLSTOY, Leo",Leo Tolstoy ; translated by Rosemary Edmonds ; retold by Anne Collins,Pearson Education Limited,978-1-4058-6529-6,,pbk.,,Unpriced,978-1-4058-8025-1,,CD-Rom,,Unpriced,Essex,2008,"ix, 107 p. ; 20 cm.",+ 3 CD-Roms (Penguin readers. Level 6),
2008-00609,TOM Thumb,,English,,,Learn and Play Limited,978-962-8827-96-1,,,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 20 cm.,I can read ; Level 3,
2008-02061,TOOLS for enhancing literacy in students with cognitive and multiple disabilities,,English,Ming-Gon John Lian ... [et al.],,The University of Hong Kong. Faculty of Education,978-962-8093-42-7,,pbk.,$,80.00,,,,,,Hong Kong,2007,"vi, 130 p. : ill. ; 30 cm.",,
2008-02468,TRAVEL + leisure Southeast Asia,,English,,,Media Transasia Limited,,,,,,,,,,,Hong Kong,2008,158 p. : col. ill. ; 27 cm.,Monthly ISSN 1906-0823 : $39.00,12.2007
2008-01834,TREASURES of the dragon,,English,,"edited by Saron Leece, Stephanie Brown, Kerry Nelson",PPP Company Limited,978-988-17026-4-7,,,,Unpriced,,,,,,Hong Kong,2008,173 p. : col. ill. ; 31 cm.,,
2008-00615,Jim Smiley and his jumping frog and other stories,,English,"TWAIN, Mark",Mark Twain ; retold by Nancy Taylor,Pearson Education Limited,978-1-4058-6239-4,,pbk.,,Unpriced,978-1-4058-7914-9,,audio-CD,,Unpriced,Essex,2008,"vii, 60 p. : ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 3),
2008-00393,The prince and the pauper,,English,"TWAIN, Mark",Mark Twain ; retold by Jane Rollason,Pearson Education Limited,978-1-4058-4290-7,,pbk.,,Unpriced,978-1-4058-7866-1,,audio-CD,,Unpriced,Essex,2008,43 p. : col. ill. ; 20 cm.,+ 2 audio-CDs (Penguin readers. Level 2),
2008-00606,The UGLY duckling,,English,,,Learn and Play Limited,978-962-8827-31-2,,,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 20 cm.,I can read ; Level 2,
2008-02366,‘UN’ book,,English,,,Education Bureau,978-962-8967-50-6,,pbk.,,Unpriced,,,,,,Hong Kong,2007,7 p. : col. ill. ; 21 cm.,,
2008-00206,THE UNIVERSITY OF HONG KONG. DEPARTMENT OF PAEDIATRICS & ADOLESCENT Robust under the gust : stories of strength against adversities,疾風勁草:一群病童的故事,English,,,"The University of Hong Kong, Department of Paediatrics & Adolescent Medicine",978-988-97049-8-8,,,$,98.00,,,,,,Hong Kong,2007,196 p. : col. ill. ; 22 x 28 cm.,,2nd ed.
2008-00527,US/EU textile safeguard quotas : impact and prospects,,English,,compiled by Hong Kong Trade Development Council,Hong Kong Trade Development Council. Research Department,,,,,,,,,,,Hong Kong,2007,23 p. ; 30 cm.,TDC research) $30.00 (pbk.,
2008-00931,VAN GOOL My first words : around the house,,English,,illustrated by Van Gool,Learn and Play Limited,978-962-8827-99-2,,pbk.,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 28 cm.,+ 1 sticker,
2008-00929,VAN GOOL My first words : meal times,,English,,illustrated by Van Gool,Learn and Play Limited,978-962-8827-00-8,,pbk.,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 28 cm.,+ 1 sticker,
2008-00930,VAN GOOL My first words : my animals,,English,,illustrated by Van Gool,Learn and Play Limited,978-962-8827-97-8,,pbk.,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 28 cm.,+ 1 sticker,
2008-00928,VAN GOOL My first words : my holidays,,English,,illustrated by Van Gool,Learn and Play Limited,978-962-8827-98-5,,pbk.,$,9.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 28 cm.,+ 1 sticker,
2008-00925,VAN GOOL Tell me how : opposites,,English,Van Gool,,Learn and Play Limited,978-962-8827-78-7,,,$,29.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 25 cm.,,
2008-00924,VAN GOOL Tell me how : shapes and colours,,English,Van Gool,,Learn and Play Limited,978-962-8827-76-3,,,$,29.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 25 cm.,,
2008-00927,VAN GOOL Tell me how to : count,,English,Van Gool,,Learn and Play Limited,978-962-8827-77-0,,,$,29.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 25 cm.,,
2008-00926,VAN GOOL Tell me how to : tell the time,,English,Van Gool,,Learn and Play Limited,978-962-8827-33-6,,,$,29.90,,,,,,Hong Kong,2008,unpaged : col. ill. ; 25 cm.,,
2008-01984,Journey to the centre of the Earth,,English,Jules Verne,,Oxford University Press (China) Limited,978-0-19-546248-7,,pbk.,$,53.00,,,,,,Hong Kong,2007,108 p. : ill. ; 20 cm.,Oxford progressive English readers. Level 4,2nd ed.
2008-02681,Round the world in eighty days,,English,Jules Verne,,Pearson Education Limited,978-1-4058-8441-9,,pbk.,,Unpriced,,,,,,Essex,2008,60 p. : col. ill. ; 21 cm.,+ 2 audio-CDs (Penguin active reading. Level 2),
2008-00093,Twenty thousand leagues under the sea,,English,Jules Verne,,Pearson Education Limited,978-1-4058-4276-1,,pbk.,,Unpriced,978-1-4058-7799-2,,CD-Rom,,,Essex,2008,27 p. : col. ill. ; 20 cm.,+ 1 CD-Rom (Penguin readers. Level 1),
2008-02406,VIRTUOUS treasures : Chinese jades for the scholar’s table,閣有天珍:中國文房玉雕,English,,"edited by Tina Yee-wan Pang, Jane Sze","The University of Hong Kong, University Museum and Art Gallery",978-962-8038-83-1,,,$,650.00,,,,,,Hong Kong,2008,223 p. : col. ill. ; 30 cm.,Text in Chinese and English,
2008-00124,VITAL BIOTECH HOLDINGS LIMITED Vital BioTech Holdings Limited major transaction acquisition of the entire equity interest of Sichuan Hengtai,維奧生物科技控股有限公司主要交易收購四川恒泰全部股本權益,English,,,Vital BioTech Holdings Limited,,,,,,,,,,,Hong Kong,2007,"135, 135 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-01537,VITAL BIOTECH HOLDINGS LIMITED Vital BioTech Holdings Limited proposed changed of company name,維奧生物科技控股有限公司建議更改公司名稱,English,,,Vital BioTech Holdings Limited,,,,,,,,,,,Hong Kong,2008,"4, 4 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02686,Jeri Telstar,,English,Nury Vittachi,,PPP Company Limited,978-988-17400-6-9,,pbk.,$,48.00,,,,,,Hong Kong,2008,86 p. : ill. ; 20 cm.,,
2008-01421,VOCATIONAL TRAINING COUNCIL VTC calendar 2007-2008,,English,,,Vocational Training Council,,,,,,,,,,,Hong Kong,2007,463 p. : charts ; 21 cm.,Includes index Unpriced (pbk.),
2008-00447,The VOYAGES of Sindbad of sailor,,English,,retold by Pauline Francis,Pearson Education Limited,978-1-4058-5542-6,,pbk.,,Unpriced,978-1-4058-7879-1,,audio-CD,,Unpriced,Essex,2008,"v, 44 p. : col. ill., map ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 2),
2008-00408,VXL CAPITAL LIMITED VXL Capital Limited interim report 2007-2008,卓越金融有限公司中期報告2007-2008,English,,,VXL Capital Limited,,,,,,,,,,,Hong Kong,2007,44 p. : ill. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2008-00400,Braveheart,,English,"WALLACE, Randall",Randall Wallace ; retold by Jane Rollason,Pearson Education Limited,978-1-4058-8177-7,,pbk.,,Unpriced,978-1-4058-7890-6,,audio-CD,,Unpriced,Essex,2008,"v, 46 p. : ill., map ; 20 cm.",+ 1 audio-CD (Penguin readers. Level 3),
2008-00120,WANG SING INTERNATIONAL HOLDINGS GROUP LIMITED Wang Sing International Holdings Group Limited discloseable transaction in relation to the entering into of an exclusive supply agreement involving issue of new shares and convertible note,旺城國際控股集團有限公司有關訂立涉及發行新股份及可換股票據的獨家供應協議的須予披露交易,English,,,Wang Sing International Holdings Group Limited,,,,,,,,,,,Hong Kong,2007,"18, 18 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-01543,"WANG SING INTERNATIONAL HOLDINGS GROUP LIMITED Wang Sing International Holdings Group Limited proposals for refreshment of general mandates to issue and repurchase shares, proposal for granting of share option to an eligible participant under the share option scheme in excess of 1% entitlement and notice of extraordinary general meeting",旺城國際控股集團有限公司建議更新發行及購回股份之一般授權、建議根據購股權計劃向一名合資格參與人授出超過1%限額之購股權及股東特別大會通告,English,,,Wang Sing International Holdings Group Limited,,,,,,,,,,,Hong Kong,2008,"29, 29 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-01951,"WANG, Richard X. Y. Investment in China Special Economic Zones",中國特殊經濟區域投資指南,English,"Richard X.Y. Wang, Clare Y. Lu",,CCH Hong Kong Limited,978-988-99177-3-9,,,CNY,3800.00,,,,,,Hong Kong,2007,various pagings; 25 cm.,Text in simplified Chinese and English,
2008-01429,WATER OASIS GROUP LIMITED Water Oasis Group Limited annual report 2007,奧思集團有限公司年報2007,English,,,Water Oasis Group Limited,,,,,,,,,,,Hong Kong,2007,"80, 80 p. : col. ill. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02619,WATSON WYATT HONG KONG LIMITED Measurement of investment performance survey annual report 2007 for Hong Kong retirement funds,,English,,,Watson Wyatt Hong Kong Limited,,,,,,,,,,,Hong Kong,2008,"28 p. : col. ill., charts ; 30 cm.",$4000.00 (pbk.),
2008-00966,WEDDING de luxe,,English,,,Hong Kong Asia Exhibition (Holdings) Limited,,,,,,,,,,,Hong Kong,2007,189 p. : col. ill. ; 31 cm.,Quarterly Text in Chinese and English $38.00,No. 1(12.2007)
2008-00979,WEI Dog : perfumed paradise,魏東:胭脂國,English,,"edited by Tsong-zung Chang, Marcello Kwan",Hanart T Z Gallery,978-988-99671-9-2,,pbk.,$,150.00,,,,,,Hong Kong,2008,70 p. : col. ill. ; 30 cm.,Text in Chinese and English,
2008-02226,"WELLS, H. G. The island of Dr. Moreau",,English,,H.G. Wells ; retold by Fiona Beddall,Pearson Education Limited,978-1-4058-8190-6,,pbk.,,Unpriced,978-1-4058-7912-5,,audio-CD,,Unpriced,Essex,2008,"vii, 61 p. : col. ill. ; 20 cm.",+ 2 audio-CD (Penguin readers. Level 3),
2008-00460,"WELLS, H. G. The time machine",,English,,H.G. Wells ; retold by David Maule,Pearson Education Limited,978-1-4058-8234-7,,pbk.,,Unpriced,978-1-4058-7979-8,,audio-CD,,Unpriced,Essex,2008,76 p. : ill. ; 20 cm.,+ 3 audio-CDs (Penguin readers. Level 4),
2008-00458,The Canterville ghost and other stories,,English,"WILDE, Oscar",Oscar Wilde ; retold by John Davage,Pearson Education Limited,978-1-4058-6512-8,,pbk.,,Unpriced,978-1-4058-7946-0,,audio-CD,,Unpriced,Essex,2008,"ix, 67 p. : col. ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 4),
2008-00450,An ideal husband,,English,"WILDE, Oscar",Oscar Wilde ; retold by Mary Gladwin,Pearson Education Limited,978-1-4058-6236-3,,pbk.,,Unpriced,978-1-4058-7886-9,,audio-CD,,Unpriced,Essex,2008,"viii, 61 p. : ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 3),
2008-01782,Advocacy and the litigation process in Hong Kong,,English,"Michael Wilkinson, Vandana Rajwani, Raymond Pierce",,LexisNexis,978-962-8972-24-1,,pbk.,$,640.00,,,,,,Hong Kong,2007,"lxviii, 473 p. ; 24 cm.",Includes index,3rd ed.
2008-01784,The student guide to civil procedure in Hong Kong,,English,"Michael Wilkinson, Christine N. Booth, Eric T.M. Cheung",,LexisNexis,978-962-8972-27-2,,pbk.,$,570.00,,,,,,Hong Kong,2008,"cxlvi, 906 p. ; 25 cm.",Includes index,2nd ed.
2008-02668,Astronaut,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-1-3,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 21,
2008-02674,Bear,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-7-5,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 27,
2008-02652,Camera,,English,"WOOD, Michael","words by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-5-3,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 5,
2008-02662,Camera,,English,"WOOD, Michael","words by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-5-2,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 15,
2008-02667,Camera,,English,"WOOD, Michael","words by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-0-7,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 20,
2008-02672,Camera,,English,"WOOD, Michael","words by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-5-1,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 25,
2008-02677,Camera,,English,"WOOD, Michael","words by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-0-6,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 30,
2008-02657,Camera,,English,"WOOD, Michael","words by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-0-8,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 10,
2008-02665,Carousel,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-8-3,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 18,
2008-02659,Desert,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-2-1,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 12,
2008-02666,Dodgem car,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-9-0,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 19,
2008-02676,Elephant,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-9-9,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 29,
2008-02651,Frog,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-4-6,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 4,
2008-02675,Giraffe,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-8-2,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 28,
2008-02648,Kite,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-1-5,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 1,
2008-02661,Ocean,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-4-5,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 14,
2008-02656,Parrot,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-9-1,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 9,
2008-02654,Pirate,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-7-7,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 7,
2008-02660,Polar,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-3-8,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 13,
2008-02658,Rainforest,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-1-4,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 11,
2008-02671,Robot,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-4-4,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 24,
2008-02669,Rocket,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-2-0,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 22,
2008-02663,Rollercoaster,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-6-9,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 16,
2008-02653,Ship,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-6-0,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 6,
2008-02649,Skater,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-2-2,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 2,
2008-02650,Swing,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-3-9,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 3,
2008-02673,Tiger,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-6-8,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 26,
2008-02655,Treasure,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17270-8-4,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 8,
2008-02664,Treats,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17271-7-6,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 17,
2008-02670,Zog,,English,"WOOD, Michael","sentences and phrases by Michael Wood, Jo-Anne Dooner, Rachel Tabram ; illustrated by Adam Langley",Get Reading Right Limited,978-988-17272-3-7,,pbk.,GBP,2.50,,,,,,Hong Kong,2008,unpaged : col. ill. ; 15 cm.,On my way ; 23,
2008-01534,WORLD’S famous landmarks,世界著名地標,English,,,PSI-Elite Education Limited,978-988-17316-7-8,,,$,238.00,,,,,,Hong Kong,2008,12 plates : col. ill. ; 28 cm.,(Encyclopedic knowledge - history) Text in Chinese and English,
2008-01527,WRITERS of influence,具有偉大影響力的作家,English,,,PSI-Elite Education Limited,978-988-17316-8-5,,,$,238.00,,,,,,Hong Kong,2008,12 plates : col. ill. ; 28 cm.,(Encyclopedic knowledge - literature) Text in Chinese and English,
2008-00550,The Swiss family Robinson,,English,"WYSS, Johann",Johann Wyss ; retold by Madeleine du Vivier,Pearson Education Limited,978-1-4058-5548-8,,pbk.,,Unpriced,978-1-4058-7939-2,,audio-CD,,Unpriced,Essex,2008,"vii, 58 p. : ill. ; 20 cm.",+ 2 audio-CDs (Penguin readers. Level 3),
2008-01417,Classics : Yang Mian new work exhibition,那些經典:楊冕新作展,English,"YANG, Mian",by Yang Mian,Timezone 8 Limited,978-988-17144-4-2,,pbk.,USD,21.00,,,,,,Hong Kong,2007,89 p. : col. ill. ; 30 cm.,Text in simplified Chinese and English,
2008-01549,"YEH, Helen W. M. Real-life English for business communications",,English,"Helen W.M. Yeh, Donald C.K. Yeh",,Creative Educational Company,978-988-99343-2-3,,pbk.,,Unpriced,,,,,,Hong Kong,2008,282 p. ; 26 cm.,,
2008-01803,ReadSmart : a multimedia & interactive English reading course for junior forms. Program 3,,English,"YING, Alex",by Alex Ying,Starpoint Holdings Limited,978-988-98024-7-9,,pbk.,,Unpriced,,,,,,Hong Kong,2008,116 p. : ill. ; 26 cm.,,
2008-00157,Newest top up mathematics HKCEE mock examination paper collection,,English,Mac Yuen,,Kendy Publishing,978-988-99958-0-5,,sp,$,70.00,,,,,,Hong Kong,2008,various pagings: ill. ; 29 cm.,,
2008-01415,Gangzhao,趙剛,English,"ZHAO, Gang",,Timezone 8 Limited,978-988-99609-9-5,,pbk.,USD,14.00,,,,,,Hong Kong,2008,85 p. : col. ill. ; 85 cm.,Text in simplified Chinese and English,
2008-01542,ZHEJIANG YONGLONG ENTERPRISES COMPANY LIMITED Zhejiang Yonglong Enterprises Company Limited continuing connected transactions and notice of extraordinary general meeting,浙江永隆實業股份有限公司持續關連交易及臨時股東大會通告,English,,,Zhejian Yonglong Enterprises Company Limited,,,,,,,,,,,Hong Kong,2008,"24, 24 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2008-02883,英國語文科會考作文升星秘笈,,English,F. Shum ... [et al.],,FutFut.Com.hk Limited,978-988-98812-8-3,,pbk.,$,78.00,,,,,,Hong Kong,2008,116 p. : ill. (chiefly col.) ; 23 cm.,Text in Chinese and English,
2008-02546,,100種健康食物排行榜,Chinese,,趙濰主編,萬里機構.得利書局,978-962-14-3722-8,,,$,98.00,,,,,,香港,2008,,健康智慧王,
2008-02300,,13点．戀戀巴黎,Chinese,李惠珍,李惠珍著,天地,978-988-211-789-1,,,$,88.00,,,,,,香港,2008,,,
2008-00578,,17歲的澳洲,Chinese,白雪,白雪著,中國科學文化,978-988-17171-0-8,,,CNY,25.00,,,,,,香港,2007,,內容以簡體字排版,
2008-01210,,1個人的情人節,Chinese,傅珮嘉,傅珮嘉著,BMA Publication Limited,978-988-99989-4-3,,,$,30.00,,,,,,香港,2008,,,
2008-02029,,一公升感動,Chinese,,施明銘梁敏儀撰文,經要文化,978-962-8863-66-2,,,$,58.00,,,,,,香港,2007,,成長之路; 48,
2008-00727,,一切都已遙遠,Chinese,晉其炎,晉其炎著,香港文匯,978-962-374-318-1,,,$,60.00,,,,,,香港,2007,,,
2008-00518,,一本式小學全科提升練習. 1,Chinese,,,學友,978-962-600-233-9,,,$,55.00,,,,,,香港,2008,,部分內容以英文排版,
2008-00519,,一本式小學全科提升練習. 2,Chinese,,,學友,978-962-600-234-6,,,$,55.00,,,,,,香港,2008,,部分內容以英文排版,
2008-00520,,一本式小學全科提升練習. 3,Chinese,,,學友,978-962-600-235-3,,,$,55.00,,,,,,香港,2008,,部分內容以英文排版,
2008-00521,,一本式小學全科提升練習. 4,Chinese,,,學友,978-962-600-236-0,,,$,55.00,,,,,,香港,2008,,部分內容以英文排版,
2008-00522,,一本式小學全科提升練習. 5,Chinese,,,學友,978-962-600-237-7,,,$,55.00,,,,,,香港,2008,,部分內容以英文排版,
2008-00523,,一本式小學全科提升練習. 6,Chinese,,,學友,978-962-600-238-4,,,$,55.00,,,,,,香港,2008,,部分內容以英文排版,
2008-01434,,一百億能量:積極人生教材套,Chinese,,羅玉琼等編,香港明愛社會工作服務,,,,,,,,,,,香港,2008,,,
2008-01405,,一個民族的靈魂:從文化再造到中國再造,Chinese,錢宏,錢宏著,新文化圖書,978-988-99670-8-6,,,$,98.00,,,,,,香港,2007,,,
