serial,title_eng,title_chi,language,author,detailed_authorship,publisher,ISBN_1,ISSN_1,medium_1,price_1_currency,price_1,ISBN_2,ISSN_2,medium_2,price_2_currency,price_2,location_of_publication,year_of_publication,format,details,edition
2013-06063,CHINA AUTOMOTIVE INTERIOR DECORATION HOLDINGS LIMITED China Automotive Interior Decoration Holdings Limited 2012 annual report,中國汽車內飾集團有限公司2012年報,English,,,China Automotive Interior Decoration Holdings Limited,,,,,,,,,,,Hong Kong,2013,120 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-04671,CHINA BEST GROUP HOLDING LIMITED China Best Group Holding Limited annual report 2012,國華集團控股有限公司2012年報,English,,,China Best Group Holding Limited,,,,,,,,,,,Hong Kong,2013,136 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-05131,CHINA BIO CASSAVA HOLDINGS LIMITED China Bio Cassava Holdings Limited annual report 2012,中國生物資源控股有限公司年報2012,English,,,China Bio Cassava Holdings Limited,,,,,,,,,,,Hong Kong,2013,"112, 112 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07019,CHINA BIO CASSAVA HOLDINGS LIMITED China Bio Cassava Holdings Limited first quarterly report 2013,中國生物資源控股有限公司第一季度報告2013,English,,,China Bio Cassava Holdings Limited,,,,,,,,,,,Hong Kong,2013,"13, 13 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05106,"CHINA BIO CASSAVA HOLDINGS LIMITED China Bio Cassava Holdings Limited general mandates to issue and repurchase securities, refreshment of the limit of the share option scheme and re-election of directors, 27th March 2013","中國生物資源控股有限公司發行及購回證券之一般性授權、更新購股權計劃之限額及重選董事,二零一三年三月二十七日",English,,,China Bio Cassava Holdings Limited,,,,,,,,,,,Hong Kong,2013,"21, 21 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04472,"CHINA BIO-MED REGENERATION TECHNOLOGY LIMITED China Bio-Med Regeneration Technology Limited (1) Placing of new shares and connected transaction; and (2) Increase in the authorised share capital, 13 March 2013","中國生物醫學再生科技有限公司(1)配售新股及關連交易;及(2)增加法定股本,二零一三年三月十三日",English,,,China Bio-Med Regeneration Technology Limited,,,,,,,,,,,Hong Kong,2013,"29, 29 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04465,CHINA BIO-MED REGENERATION TECHNOLOGY LIMITED China Bio-Med Regeneration Technology Limited third quarterly report 2012,中國生物醫學再生科技有限公司第三季度報告2012,English,,,China Bio-Med Regeneration Technology Limited,,,,,,,,,,,Hong Kong,2012,20 p. ; 21 cm.,Text in Chinese and English Unpriced (pbk.),
2013-05927,CHINA CITIC BANK CORPORATION LIMITED China Citic Bank Corporation Limited 2012 annual report,,English,,,China Citic Bank Corporation Limited,,,,,,,,,,,Hong Kong,2013,"296 p. : col. ill., col. port ; 30 cm.",Unpriced (pbk.),
2013-06085,CHINA DAYE NON-FERROUS METALS MINING LIMITED China Daye Non-Ferrous Metals Mining Limited annual report 2012,中國大冶有色金屬礦業有限公司2012年報,English,,,China Daye Non-Ferrous Metals Mining Limited,,,,,,,,,,,Hong Kong,2013,"156, 156 p. : col. ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05781,"CHINA DEVELOPMENT BANK INTERNATIONAL INVESTMENT LIMITED China Development Bank International Investment Limited (1) General mandates to issue shares and repurchase shares; (2) Reelection of retiring directors; and (3) Notice of annual general meeting, 25 April 2013","國開國際投資有限公司(1)發行及購回股份之一般授權; (2)重選退任董事;及(3)股東周年大會通告,二零一三年四月二十五日",English,,,China Development Bank International Investment Limited,,,,,,,,,,,Hong Kong,2013,"17, 17 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05776,CHINA DEVELOPMENT BANK INTERNATIONAL INVESTMENT LIMITED China Development Bank International Investment Limited annual report 2012,國開國際投資有限公司年報2012,English,,,China Development Bank International Investment Limited,,,,,,,,,,,Hong Kong,2013,"72, 72 p. ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04234,CHINA E-LEARNING GROUP LIMITED China E-Learning Group Limited 2012 annual report,中國網絡教育集團有限公司2012年報,English,,,China E-Learning Group Limited,,,,,,,,,,,Hong Kong,2013,144 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-06264,CHINA E-LEARNING GROUP LIMITED China E-Learning Group Limited 2013 first quarterly report,中國網絡教育集團有限公司2013第一季度業績報告,English,,,China E-Learning Group Limited,,,,,,,,,,,Hong Kong,2013,"16, 16 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05111,"CHINA ECO-FARMING LIMITED China Eco-Farming Limited (1) Connected transaction involving issue of convertible bonds; and (2) Increase in authorised share capital, 12 April 2013","中國農業生態有限公司(1)涉及發行可換股債券之關連交易；及(2)增加法定股本,二零一三年四月十二日",English,,,China Eco-Farming Limited,,,,,,,,,,,Hong Kong,2013,"62, 62 p. ; 28 cm.",Unpriced (pbk.),
2013-05126,CHINA ECO-FARMING LIMITED China Eco-Farming Limited annual report 2012,中國農業生態有限公司年報2012,English,,,China Eco-Farming Limited,,,,,,,,,,,Hong Kong,2013,"91, 91 p. ; 29 cm.",Unpriced (pbk.),
2013-07015,CHINA ECO-FARMING LIMITED China Eco-Farming Limited first quarterly report 2013,中國農業生態有限公司第一季度業績報告2013,English,,,China Eco- Farming Limited,,,,,,,,,,,Hong Kong,2013,"14, 14 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05101,"CHINA ECO-FARMING LIMITED China Eco-Farming Limited general mandates to issue and repurchase shares, extend general mandate to issue shares, reelection of retiring directors and notice of annual general meeting, 28 March 2013","中國農業生態有限公司發行及購回股份之一般授權、擴大一般授權以發行股份、重選退任董事及股東週年大會通告,二零一三年三月二十八日",English,,,China Eco-Farming Limited,,,,,,,,,,,Hong Kong,2013,"17, 17 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04678,CHINA ELECTRONICS CORPORATION HOLDINGS COMPANY LIMITED China Electronics Corporation Holdings Company Limited annual report 2012,中國電子集團控股有限公司2012年年報,English,,,China Electronics Corporation Holdings Company Limited,,,,,,,,,,,Hong Kong,2013,100 p. ; 30 cm.,Text in Chinese and English Unpriced (pbk.),
2013-06084,CHINA ENERGY DEVELOPMENT HOLDINGS LIMITED China Energy Development Holdings Limited 2012 annual report,中國能源開發控股有限公司2012年報,English,,,China Energy Development Holdings Limited,,,,,,,,,,,Hong Kong,2013,148 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-07126,CHINA ENVIRONMENTAL INVESTMENT HOLDINGS LIMITED China Environmental Investment Holdings Limited 2012 annual report,中國環保投資股份有限公司2012年報,English,,,China Environmental Investment Holdings Limited,,,,,,,,,,,Hong Kong,2013,"168, 168 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04650,CHINA EVERBRIGHT INTERNATIONAL LIMITED China Everbright International Limited annual report 2012,中國光大國際有限公司2012年報,English,,,China Everbright International Limited,,,,,,,,,,,Hong Kong,2013,"260 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04667,CHINA FINANCIAL INTERNATIONAL INVESTMENTS LIMITED China Financial International Investments Limited 2012 interim report,中國金融國際投資有限公司2012中期報告,English,,,China Financial International Investments Limited,,,,,,,,,,,Hong Kong,2013,"34, 34 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07146,CHINA FINANCIAL LEASING GROUP LIMITED China Financial Leasing Group Limited 2012 annual report,中國金融租賃集團有限公司二零一二年年報,English,,,China Financial Leasing Group Limited,,,,,,,,,,,Hong Kong,2013,"83, 83 p. : col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06093,CHINA FINANCIAL SERVICES HOLDINGS LIMITED China Financial Services Holdings Limited annual report 2012,中國金融投資管理有限公司年報2012,English,,,China Financial Services Holdings Limited,,,,,,,,,,,Hong Kong,2013,"128, 128 p. : col. ill. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07119,CHINA FIRST CHEMICAL HOLDINGS LIMITED China First Chemical Holdings Limited 2012 annual report,,English,,,China First Chemical Holdings Limited,,,,,,,,,,,Hong Kong,2013,80 p. ; 29 cm.,Unpriced (pbk.),
2013-05982,CHINA FLAVORS AND FRAGRANCES COMPANY LIMITED China Flavors and Fragrances Company Limited annual report 2012,中國香精香料有限公司年度報告2012,English,,,China Flavors and Fragrances Company Limited,,,,,,,,,,,Hong Kong,2013,"92, 92 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06001,CHINA FORTUNE HOLDINGS LIMITED China Fortune Holdings Limited annual report 2012,中國長遠控股有限公司2012年報,English,,,China Fortune Holdings Limited,,,,,,,,,,,Hong Kong,2013,"144 p. : col. chart, col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04676,CHINA FORTUNE INVESTMENTS (HOLDING) LIMITED China Fortune Investments (Holding) Limited annual report 2012,中國幸福投資(控股)有限公司2012年年報,English,,,China Fortune Investments (Holding) Limited,,,,,,,,,,,Hong Kong,2013,"117, 117 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04647,CHINA HIGH PRECISION AUTOMATION GROUP LIMITED China High Precision Automation Group Limited 2012/13 interim report,中國高精密自動化集團有限公司2012,English,13中期報告,,China High Precision Automation Group Limited,,,,,,,,,,,Hong Kong,2013,"28, 28 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05114,CHINA INNOVATION INVESTMENT LIMITED China Innovation Investment Limited 2012 annual report,中國創新投資有限公司2012年報,English,,,China Innovation Investment Limited,,,,,,,,,,,Hong Kong,2013,"58, 58 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05095,"CHINA INNOVATION INVESTMENT LIMITED China Innovation Investment Limited proposed general mandates to repurchase and issue shares, proposed re-election of directors, and notice of annual general meeting, 17 April 2013","中國創新投資有限公司建議購回及發行股份之一般授權、建議重選董事、及股東週年大會通告,二零一三年四月十七日",English,,,China Innovation Investment Limited,,,,,,,,,,,Hong Kong,2013,"15, 15 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06140,CHINA ITS (HOLDINGS) COMPANY LIMITED China ITS (Holdings) Company Limited 2012 annual report,中國智能交通系統(控股)有限公司2012年度報告,English,,,China ITS (Holdings) Company Limited,,,,,,,,,,,Hong Kong,2013,"170, 170 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06101,"CHINA ITS (HOLDINGS) COMPANY LIMITED China ITS (Holdings) Company Limited general mandates to repurchase and issue shares, re-election of directors and notice of annual general meeting, 22 April 2013","中國智能交通系統(控股)有限公司購回及發行股份之一般授權、重選董事及股東週年大會通告,二零一三年四月二十二日",English,,,China ITS (Holdings) Company Limited,,,,,,,,,,,Hong Kong,2013,"20, 20 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06044,CHINA JIUHAO HEALTH INDUSTRY CORPORATION LIMITED China Jiuhao Health Industry Corporation Limited annual report 2012,中國9號健康產業有限公司年報2012,English,,,China Jiuhao Health Industry Corporation Limited,,,,,,,,,,,Hong Kong,2013,"144, 144 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05984,CHINA LEASON CBM & SHALE GAS GROUP COMPANY LIMITED China Leason CBM & Shale Gas Group Company Limited 2012 annual report,中國聯盛煤層氣頁岩氣產業集團有限公司2012年報,English,,,China Leason CBM & Shale Gas Group Company Limited,,,,,,,,,,,Hong Kong,2013,212 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-05779,CHINA LONGYUAN POWER GROUP CORPORATION LIMITED China Longyuan Power Group Corporation Limited 2012 annual report,,English,,,China Longyuan Power Group Corporation Limited,,,,,,,,,,,Hong Kong,2013,"256 p. : col. ill., col. charts, col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05568,CHINA MACHINERY ENGINEERING CORPORATION China Machinery Engineering Corporation annual report 2012,,English,,,China Machinery Engineering Corporation,,,,,,,,,,,Hong Kong,2013,"236 p. : col. ill., charts, map ; 29 cm.",Unpriced (pbk.),
2013-05504,CHINA MERCHANTS CHINA DIRECT INVESTMENTS LIMITED China Merchants China Direct Investments Limited annual report 2012,招商局中國基金有限公司二零一二年年報,English,,,China Merchants China Direct Investments Limited,,,,,,,,,,,Hong Kong,2013,"100, 100 p. : col. charts, col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05774,CHINA MERCHANTS HOLDINGS (INTERNATIONAL) COMPANY LIMITED China Merchants Holdings (International) Company Limited annual report 2012,,English,,,China Merchants Holdings (International) Company Limited,,,,,,,,,,,Hong Kong,2013,"166 p. : col. ill., charts, maps, col. port ; 29 cm.",Unpriced (pbk.),
2013-06137,CHINA MINING RESOURCES GROUP LIMITED China Mining Resources Group Limited 2012 annual report,中國礦業資源集團有限公司2012年報,English,,,China Mining Resources Group Limited,,,,,,,,,,,Hong Kong,2013,"120, 120 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06113,"CHINA MINING RESOURCES GROUP LIMITED China Mining Resources Group Limited proposed re-election of directors, general mandates to issue and repurchase shares and notice of annual general meeting, 18 April 2013","中國礦業資源集團有限公司建議重選董事、發行及購回股份之一般授權及股東週年大會通告,二零一三年四月十八日",English,,,China Mining Resources Group Limited,,,,,,,,,,,Hong Kong,2013,"19, 19 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05566,CHINA MINSHENG BANKING CORPORATION LIMITED China Minsheng Banking Corporation Limited 2012 annual report,,English,,,China Minsheng Banking Corporation Limited,,,,,,,,,,,Hong Kong,2013,413 p. : col. ill. ; 29 cm.,Unpriced (pbk.),
2013-05518,CHINA MOLYBDENUM COMPANY LIMITED China Molybdenum Company Limited 2012 annual report,,English,,,China Molybdenum Company Limited,,,,,,,,,,,Hong Kong,2013,128 p. ; 29 cm.,Unpriced (pbk.),
2013-03913,CHINA NENG XIAO TECHNOLOGY (GROUP) LIMITED China Neng Xiao Technology (Group) Limited third quarterly report 2012-2013,中國能效科技(集團)有限公司2012-2013第三季度業績報告,English,,,China Neng Xiao Technology (Group) Limited,,,,,,,,,,,Hong Kong,2013,"18, 18 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06068,CHINA NETCOM TECHNOLOGY HOLDINGS LIMITED China Netcom Technology Holdings Limited annual report 2012,中彩網通控股有限公司年報2012,English,,,China Netcom Technology Holdings Limited,,,,,,,,,,,Hong Kong,2013,"138, 138 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07105,CHINA NETCOM TECHNOLOGY HOLDINGS LIMITED China Netcom Technology Holdings Limited first quarterly report 2013,中彩網通控股有限公司第一季度報告2013,English,,,China Netcom Technology Holdings Limited,,,,,,,,,,,Hong Kong,2013,"20, 20 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04663,CHINA NEW TOWN DEVELOPMENT COMPANY LIMITED China New Town Development Company Limited annual report 2012,,English,,,China New Town Development Company Limited,,,,,,,,,,,Hong Kong,2013,"128 p. : col. ill., col. port ; 30 cm.",Unpriced (pbk.),
2013-05500,CHINA NICKEL RESOURCES HOLDINGS COMPANY LIMITED China Nickel Resources Holdings Company Limited annual report 2012,中國鎳資源控股有限公司二零一二年年度報告,English,,,China Nickel Resources Holdings Company Limited,,,,,,,,,,,Hong Kong,2013,"204 p. : col. ill., col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06036,CHINA NUCLEAR INDUSTRY 23 INTERNATIONAL CORPORATION LIMITED China Nuclear Industry 23 International Corporation Limited annual report 2012,中國核工業二三國際有限公司2012年報,English,,,China Nuclear Industry 23 International Corporation Limited,,,,,,,,,,,Hong Kong,2013,"88, 88 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06076,CHINA OCEAN SHIPBUILDING INDUSTRY GROUP LIMITED China Ocean Shipbuilding Industry Group Limited annual report 2012,中海船舶重工集團有限公司年報2012,English,,,China Ocean Shipbuilding Industry Group Limited,,,,,,,,,,,Hong Kong,2013,"133, 133 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05139,CHINA OIL AND GAS GROUP LIMITED China Oil and Gas Group Limited 2012 interim report,中油燃氣集團有限公司2012中期報告,English,,,China Oil and Gas Group Limited,,,,,,,,,,,Hong Kong,2013,"28, 28 p. : ill., col. chart ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05498,CHINA OIL AND GAS GROUP LIMITED China Oil and Gas Group Limited 5.25% senior notes due 2018,,English,,,China Oil and Gas Group Limited,,,,,,,,,,,Hong Kong,2013,"x, 213, 146 p. ; 29 cm.",Unpriced (pbk.),
2013-05140,CHINA OIL AND GAS GROUP LIMITED China Oil and Gas Group Limited annual report 201,中油燃氣集團有限公司年度報告2011,English,,,China Oil and Gas Group Limited,,,,,,,,,,,Hong Kong,2012,"106, 106 p. : col. ill., chart ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05499,CHINA OIL AND GAS GROUP LIMITED China Oil and Gas Group Limited annual report 2012,中油燃氣集團有限公司年度報告2012,English,,,China Oil and Gas Group Limited,,,,,,,,,,,Hong Kong,2013,"112, 112 p. : col. ill., col. charts, col. maps ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06131,CHINA ORIENTAL CULTURE GROUP LIMITED China Oriental Culture Group Limited 2012 annual report,中國東方文化集團有限公司2012年報,English,,,China Oriental Culture Group Limited,,,,,,,,,,,Hong Kong,2013,"136, 136 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06109,"CHINA ORIENTAL CULTURE GROUP LIMITED China Oriental Culture Group Limited general mandates to issue and repurchase shares, extension of general mandate to issue shares, refreshment of the scheme limit under the share option scheme, re-election of retiring directors and notice of annual general meeting, 29 April 2013","中國東方文化集團有限公司發行及購回股份的一般授權、擴大發行股份的一般授權、根據購股權計劃更新計劃上限、重選退任董事及股東週年大會通告,二零一三年四月二十九日",English,,,China Oriental Culture Group Limited,,,,,,,,,,,Hong Kong,2013,"18, 18 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06005,CHINA ORIENTAL GROUP COMPANY LIMITED China Oriental Group Company Limited annual report 2012,中國東方集團控股有限公司2012年報,English,,,Hong Kong : China Oriental Group Company Limited 2013,,,,,,,,,,,,,244 p. : 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-03928,CHINA OUTDOOR MEDIA GROUP LIMITED China Outdoor Media Group Limited 2013 interim report,中國戶外媒體集團有限公司2013中期報告,English,,,China Outdoor Media Group Limited,,,,,,,,,,,Hong Kong,2013,"32, 32 p. ; 21 cm.",Unpriced (pbk.),
2013-06053,CHINA OUTFITTERS HOLDINGS LIMITED China Outfitters Holdings Limited 2012 annual report,中國服飾控股有限公司年報2012,English,,,China Outfitters Holdings Limited,,,,,,,,,,,Hong Kong,2013,"108, 108 p. ; 29 cm.",Unpriced (pbk.),
2013-04623,CHINA OVERSEAS LAND & INVESTMENT LIMITED China Overseas Land & Investment Limited annual report 2012,,English,,,China Overseas Land & Investment Limited,,,,,,,,,,,Hong Kong,2013,218 p. : col. ill. ; 30 cm.,Unpriced (pbk.),
2013-04605,"CHINA OVERSEAS LAND & INVESTMENT LIMITED China Overseas Land & Investment Limited notice of annual general meeting and proposals for general mandates to repurchase and issue shares and re-election of directors, 12 April 2013",,English,,,China Overseas Land & Investment Limited,,,,,,,,,,,Hong Kong,2013,25 p. ; 28 cm.,Unpriced (pbk.),
2013-05497,"CHINA OVERSEAS LAND & INVESTMENT LIMITED China Overseas Land & Investment Limited renewal of continuing connected transactions with China State Construction Engineering Corporation Limited and notice of extraordinary general meeting, 6 May 2013",,English,,,China Overseas Land & Investment Limited,,,,,,,,,,,Hong Kong,2013,27 p. ; 28 cm.,Unpriced (pbk.),
2013-04804,CHINA PIPE GROUP LIMITED China Pipe Group Limited 2012 annual report,中國管業集團有限公司年報2012,English,,,China Pipe Group Limited,,,,,,,,,,,Hong Kong,2013,152 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-06018,CHINA POWER NEW ENERGY DEVELOPMENT COMPANY LIMITED China Power New Energy Development Company Limited annual report 2012,中國電力新能源發展有限公司2012年報,English,,,China Power New Energy Development Company Limited,,,,,,,,,,,Hong Kong,2013,"128, 128 p. : col. ill., col. charts, col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04660,CHINA PRIMARY RESOURCES HOLDINGS LIMITED China Primary Resources Holdings Limited annual report 2012,中國基礎資源控股有限公司年報2012,English,,,China Primary Resources Holdings Limited,,,,,,,,,,,Hong Kong,2013,"113, 113 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07124,CHINA PROPERTIES GROUP LIMITED China Properties Group Limited annual report 2012,China Properties Group Limited 2012年報,English,,,China Properties Group Limited,,,,,,,,,,,Hong Kong,2013,"100, 100 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07022,"CHINA PUBLIC PROCUREMENT LIMITED China Public Procurement Limited adoption of new share option scheme and notice of the special general meeting, 27 May 2013","中國公共採購有限公司採納新股權計劃及股東特別大會通告,二零一三年五月二十七日",English,,,China Public Procurement Limited,,,,,,,,,,,Hong Kong,2013,"25, 25 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06132,CHINA PUBLIC PROCUREMENT LIMITED China Public Procurement Limited annual report 2012,中國公共採購有限公司年報2012,English,,,China Public Procurement Limited,,,,,,,,,,,Hong Kong,2013,"124, 124 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-04468,"CHINA PUBLIC PROCUREMENT LIMITED China Public Procurement Limited appointment of auditors and notice of special general meeting, 6 March 2013","中國公共採購有限公司委任核數師及股東特別大會通告,二零一三年三月六日",English,,,China Public Procurement Limited,,,,,,,,,,,Hong Kong,2013,"6, 6 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06117,"CHINA PUBLIC PROCUREMENT LIMITED China Public Procurement Limited proposed granting of general mandates to repurchase shares and to issue new shares, extension of the issuance mandate, proposed re-election of the retiring directors and notice of the annual general meeting, 30 April 2013","中國公共採購有限公司建議授出購回股份及發行新股份之一般授權、擴大發行授權、建議重選退任董事及股東週年大會通告,二零一三年四月三十日",English,,,China Public Procurement Limited,,,,,,,,,,,Hong Kong,2013,"30, 30 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07174,CHINA PUTIAN FOOD HOLDING LIMITED China Putian Food Holding Limited annual report 2012,中國普甜食品控股有限公司年報2012,English,,,China Putian Food Holding Limited,,,,,,,,,,,Hong Kong,2013,"92, 92 p. : col. ill., col. charts ; 30 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06139,CHINA QINFA GROUP LIMITED China Qinfa Group Limited annual report 2012,中國秦發集團有限公司2012年報,English,,,China Qinfa Group Limited,,,,,,,,,,,Hong Kong,2013,"204 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06119,"CHINA QINFA GROUP LIMITED China Qinfa Group Limited repurchase mandate and general mandate, proposed reelection of directors and notice of annual general meeting, 17 April 2013","中國秦發集團有限公司購回授權及一般授權建議重選董事及股東週年大會通告,二零一三年四月十七日",English,,,China Qinfa Group Limited,,,,,,,,,,,Hong Kong,2013,"20, 20 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05132,CHINA RAILWAY LOGISTICS LIMITED China Railway Logistics Limited annual report 2012,中國鐵路貨運有限公司2012年報,English,,,China Railway Logistics Limited,,,,,,,,,,,Hong Kong,2013,"158, 158 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-07011,CHINA RAILWAY LOGISTICS LIMITED China Railway Logistics Limited first quarterly report 2013,中國鐵路貨運有限公司二零一三年第一季度報告,English,,,China Railway Logistics Limited,,,,,,,,,,,Hong Kong,2013,"16, 16 p. ; 21 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06108,"CHINA RAILWAY LOGISTICS LIMITED China Railway Logistics Limited re-election of retiring directors, proposed grant of general mandates to issue and repurchase shares, extension of general mandate to issue shares, change of company name and notice of annual general meeting, 8 May 2013","中國鐵路貨運有限公司重選退任董事、建議授出一般授權以發行及購回股份、擴大一般授權以發行股份、更改公司名稱及股東週年大會通告,二零一三年五月八日",English,,,China Railway Logistics Limited,,,,,,,,,,,Hong Kong,2013,"16, 16 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05918,CHINA RENEWABLE ENERGY INVESTMENT LIMITED China Renewable Energy Investment Limited 2012 annual report,中國再生能源投資有限公司2012年報,English,,,China Renewable Energy Investment Limited,,,,,,,,,,,Hong Kong,2013,148 p. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-05917,"CHINA RENEWABLE ENERGY INVESTMENT LIMITED China Renewable Energy Investment Limited proposals involving (I) Granting of the general mandates to issue new shares and repurchase shares, (II) Re-election of directors, and notice of annual general meeting, 26 April 2013","中國再生能源投資有限公司建議包括(I)授出有發行新股份及購回股份之一般授權； (II)重選董事；及股東週年大會通告,二零一三年四月二十六日",English,,,China Renewable Energy Investment Limited,,,,,,,,,,,Hong Kong,2013,"16, 16 p. ; 28 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06022,CHINA RENJI MEDICAL GROUP LIMITED China Renji Medical Group Limited 2012 annual report,中國仁濟醫療集團有限公司2012年報,English,,,China Renji Medical Group Limited,,,,,,,,,,,Hong Kong,2013,"100, 100 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05334,"CHINA RESOURCES ENTERPRISE, LIMITED China Resources Enterprise, Limited annual report 2012",華潤創業有限公司2012年報,English,,,"China Resources Enterprise, Limited",,,,,,,,,,,Hong Kong,2013,200 p. : col. ill. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-05073,CHINA RESOURCES GAS GROUP LIMITED China Resources Gas Group Limited 2012 annual report,華潤燃氣控股有限公司2012年報,English,,,China Resources Gas Group Limited,,,,,,,,,,,Hong Kong,2013,"232 p. : col. ill., charts, col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05505,CHINA RESOURCES LAND LIMITED China Resources Land Limited 2012 annual report,華潤置地有限公司2012年度年報,English,,,China Resources Land Limited,,,,,,,,,,,Hong Kong,2013,180 p. : col. ill. ; 29 cm.,Text in Chinese and English Unpriced (pbk.),
2013-06040,CHINA RUIFENG GALAXY RENEWABLE ENERGY HOLDINGS LIMITED China Ruifeng Galaxy Renewable Energy Holdings Limited 2012 annual report,中國瑞風銀河新能源控股有限公司2012年報,English,,,China Ruifeng Galaxy Renewable Energy Holdings Limited,,,,,,,,,,,Hong Kong,2013,"150, 150 p. : col. ill., col. charts ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-06061,CHINA SANJIANG FINE CHEMICALS COMPANY LIMITED China Sanjiang Fine Chemicals Company Limited annual report 2012,中國三江精細化工有限公司年報2012,English,,,China Sanjiang Fine Chemicals Company Limited,,,,,,,,,,,Hong Kong,2013,"104, 104 p. : col. ill., col. port ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
2013-05974,CHINA SEVEN STAR SHOPPING LIMITED China Seven Star Shopping Limited annual report 2012,中國七星購物有限公司年報2012,English,,,China Seven Star Shopping Limited,,,,,,,,,,,Hong Kong,2013,"80, 80 p. ; 29 cm.",Text in Chinese and English Unpriced (pbk.),
